Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BANKNIFTY-II.NFO,29/07/2024,09:15:00,51589,51638.95,60,51679.95,15,705,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:00,51589,51638.95,60,51679.95,15,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:00,51720,51638.95,60,51679.95,15,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:00,51588.95,51638.95,60,51679.95,15,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:01,51697.6,51655.15,60,51693.4,75,600,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:03,51706.95,51708.5,15,51723.45,15,645,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:03,51738.95,51708.5,15,51723.45,15,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:04,51740,51740,75,51748.95,60,765,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:04,51740,51740,75,51748.95,60,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:06,51749.25,51728.55,45,51749.05,75,960,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:06,51769.95,51728.55,45,51749.05,75,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:07,51762.15,51735.85,60,51762.1,45,1860,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:07,51785.5,51735.85,60,51762.1,45,0,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:09,51728.55,51721.35,30,51728.55,90,2880,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:11,51726.25,51726.35,30,51737.55,45,735,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:12,51740.6,51741,180,51768.75,120,1755,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:14,51757.85,51757.9,60,51769.6,120,705,1937655
BANKNIFTY-II.NFO,29/07/2024,09:15:15,51764.65,51754.55,60,51764.65,120,2025,1937655
