Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-III.NFO,18/06/2024,09:15:00,23770,23774.55,75,23799.85,100,50,476575
NIFTY-III.NFO,18/06/2024,09:15:00,23770,23774.55,75,23799.85,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:00,23770,23774.55,75,23799.85,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:00,23760.65,23774.55,75,23799.85,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:01,23774.85,23774.95,50,23793.95,100,25,476575
NIFTY-III.NFO,18/06/2024,09:15:01,23774.85,23774.95,50,23793.95,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:02,23774.9,23774.85,25,23793.95,100,150,476575
NIFTY-III.NFO,18/06/2024,09:15:02,23793.95,23774.85,25,23793.95,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:03,23774.9,23770.15,25,23793.75,100,50,476575
NIFTY-III.NFO,18/06/2024,09:15:05,23758.95,23758.95,75,23779.95,100,700,476575
NIFTY-III.NFO,18/06/2024,09:15:05,23758.7,23758.95,75,23779.95,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:06,23779.95,23761.55,25,23779.95,100,1800,476575
NIFTY-III.NFO,18/06/2024,09:15:06,23751.75,23761.55,25,23779.95,100,0,476575
NIFTY-III.NFO,18/06/2024,09:15:08,23779.95,23766.5,50,23779.95,100,175,476575
NIFTY-III.NFO,18/06/2024,09:15:10,23774.9,23765.75,50,23774.85,100,25,476575
NIFTY-III.NFO,18/06/2024,09:15:11,23765.85,23761.85,100,23779.95,275,300,476575
NIFTY-III.NFO,18/06/2024,09:15:13,23762.05,23763.35,100,23774.85,100,75,476575
NIFTY-III.NFO,18/06/2024,09:15:14,23765.85,23762.35,100,23774.85,75,125,476575
NIFTY-III.NFO,18/06/2024,09:15:16,23772.65,23762.35,100,23774.9,25,250,476575
NIFTY-III.NFO,18/06/2024,09:15:17,23763.2,23763.2,100,23774.8,25,450,476575
NIFTY-III.NFO,18/06/2024,09:15:19,23766.4,23767.15,100,23774.8,50,25,476575
NIFTY-III.NFO,18/06/2024,09:15:21,23769.65,23769.55,100,23778.95,100,400,479100
NIFTY-III.NFO,18/06/2024,09:15:22,23778.95,23774.9,25,23778.95,75,25,479100
NIFTY-III.NFO,18/06/2024,09:15:24,23772.25,23772.25,350,23778.95,75,125,479100
NIFTY-III.NFO,18/06/2024,09:15:25,23777.95,23772.25,100,23777.95,25,525,479100
NIFTY-III.NFO,18/06/2024,09:15:27,23774.05,23771.4,100,23779.95,250,100,479100
NIFTY-III.NFO,18/06/2024,09:15:29,23774,23772.45,100,23779.95,250,50,479100
NIFTY-III.NFO,18/06/2024,09:15:30,23772.4,23768.9,100,23778,25,100,479100
NIFTY-III.NFO,18/06/2024,09:15:32,23768.35,23768.45,100,23777.95,50,50,479100
NIFTY-III.NFO,18/06/2024,09:15:33,23768.35,23769.05,100,23772.4,25,0,479100
NIFTY-III.NFO,18/06/2024,09:15:35,23770,23768.4,100,23772.4,25,250,479100
NIFTY-III.NFO,18/06/2024,09:15:37,23770,23768.5,100,23774.9,25,125,479100
NIFTY-III.NFO,18/06/2024,09:15:38,23768.4,23770.05,100,23774.8,50,50,479100
NIFTY-III.NFO,18/06/2024,09:15:40,23768.4,23770.1,100,23774.75,25,0,479100
NIFTY-III.NFO,18/06/2024,09:15:42,23770.1,23770.1,100,23776,25,475,479100
NIFTY-III.NFO,18/06/2024,09:15:43,23770.1,23770.1,75,23775,25,50,479100
NIFTY-III.NFO,18/06/2024,09:15:45,23770.1,23770.1,25,23774.95,175,0,479100
NIFTY-III.NFO,18/06/2024,09:15:47,23770.15,23770.15,125,23774.95,100,25,479100
NIFTY-III.NFO,18/06/2024,09:15:48,23770.1,23770,100,23770.1,125,25,479100
NIFTY-III.NFO,18/06/2024,09:15:50,23770.1,23770,100,23770.1,100,25,479100
NIFTY-III.NFO,18/06/2024,09:15:52,23770.1,23770,100,23770.15,25,50,479100
NIFTY-III.NFO,18/06/2024,09:15:53,23770,23770,75,23770.15,150,50,479100
NIFTY-III.NFO,18/06/2024,09:15:55,23770,23770,50,23770.15,125,50,479100
NIFTY-III.NFO,18/06/2024,09:15:57,23770,23768.4,250,23770.1,25,50,479100
NIFTY-III.NFO,18/06/2024,09:15:58,23768.4,23768.4,225,23770.1,100,50,479100
NIFTY-III.NFO,18/06/2024,09:16:00,23768.4,23768.45,50,23770,150,0,479100
NIFTY-III.NFO,18/06/2024,09:16:02,23771,23769.3,25,23775,350,600,479100
NIFTY-III.NFO,18/06/2024,09:16:03,23775,23772.2,75,23775,175,200,479100
NIFTY-III.NFO,18/06/2024,09:16:05,23772.85,23772.8,25,23775,175,200,479100
NIFTY-III.NFO,18/06/2024,09:16:07,23775,23773.35,75,23775,100,75,479100
NIFTY-III.NFO,18/06/2024,09:16:08,23775,23773.35,50,23775,125,75,479100
NIFTY-III.NFO,18/06/2024,09:16:10,23775,23773.8,125,23775,125,50,479100
NIFTY-III.NFO,18/06/2024,09:16:12,23775,23775,100,23776,25,125,479100
NIFTY-III.NFO,18/06/2024,09:16:13,23775,23775,50,23776,25,75,479100
NIFTY-III.NFO,18/06/2024,09:16:15,23775,23775,75,23778,25,75,479100
NIFTY-III.NFO,18/06/2024,09:16:16,23775.9,23775.9,75,23778,25,25,479100
NIFTY-III.NFO,18/06/2024,09:16:18,23780,23775.4,75,23780,1075,300,479100
NIFTY-III.NFO,18/06/2024,09:16:20,23775.4,23775,50,23779.95,175,50,479100
NIFTY-III.NFO,18/06/2024,09:16:21,23775.4,23775,125,23778,25,0,479100
NIFTY-III.NFO,18/06/2024,09:16:25,23775.4,23775.05,25,23778,25,0,479100
NIFTY-III.NFO,18/06/2024,09:16:26,23778,23776,25,23778,75,50,479100
NIFTY-III.NFO,18/06/2024,09:16:28,23780,23776,75,23780,1300,150,479100
NIFTY-III.NFO,18/06/2024,09:16:30,23776,23777.45,25,23779.95,75,25,479100
NIFTY-III.NFO,18/06/2024,09:16:31,23777.45,23775,275,23777.75,25,25,479100
NIFTY-III.NFO,18/06/2024,09:16:33,23777.45,23776.65,200,23780,1350,75,479100
NIFTY-III.NFO,18/06/2024,09:16:35,23775.15,23775,225,23776,25,25,479100
NIFTY-III.NFO,18/06/2024,09:16:36,23776,23776.35,200,23780,1350,25,479100
NIFTY-III.NFO,18/06/2024,09:16:38,23775.2,23775.85,125,23779.9,100,125,479100
NIFTY-III.NFO,18/06/2024,09:16:40,23775.85,23775.9,125,23779.9,100,25,479100
NIFTY-III.NFO,18/06/2024,09:16:41,23775.3,23775.7,125,23779.9,100,25,479100
NIFTY-III.NFO,18/06/2024,09:16:43,23779.9,23777.35,200,23780,1350,25,479100
NIFTY-III.NFO,18/06/2024,09:16:45,23778.6,23778.6,75,23780,1350,50,479100
NIFTY-III.NFO,18/06/2024,09:16:46,23778.6,23778.95,200,23780,1350,0,479100
NIFTY-III.NFO,18/06/2024,09:16:48,23780,23778.95,200,23780,1325,25,479100
NIFTY-III.NFO,18/06/2024,09:16:50,23780,23777.75,75,23780,1275,50,479100
NIFTY-III.NFO,18/06/2024,09:16:51,23777.75,23779.1,250,23780,1325,25,479100
NIFTY-III.NFO,18/06/2024,09:16:53,23780,23779.1,250,23780,1250,75,479100
NIFTY-III.NFO,18/06/2024,09:16:54,23780,23779.05,75,23780,1100,150,479100
NIFTY-III.NFO,18/06/2024,09:16:56,23780,23779.05,75,23780,1125,0,479100
