Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,27/05/2024,09:15:00,23150,23141.35,100,23157,50,425,6193900
NIFTY-II.NFO,27/05/2024,09:15:00,23150,23141.35,100,23157,50,0,6193900
NIFTY-II.NFO,27/05/2024,09:15:00,23150,23141.35,100,23157,50,0,6193900
NIFTY-II.NFO,27/05/2024,09:15:00,23134.45,23141.35,100,23157,50,0,6193900
NIFTY-II.NFO,27/05/2024,09:15:00,23147,23148.1,50,23156.55,125,0,6193900
NIFTY-II.NFO,27/05/2024,09:15:02,23154.9,23140.9,50,23151.55,25,1650,6193900
NIFTY-II.NFO,27/05/2024,09:15:02,23161.05,23140.9,50,23151.55,25,0,6193900
NIFTY-II.NFO,27/05/2024,09:15:02,23129.7,23140.9,50,23151.55,25,0,6193900
NIFTY-II.NFO,27/05/2024,09:15:03,23141.05,23140.9,50,23148.1,25,100,6193900
NIFTY-II.NFO,27/05/2024,09:15:04,23149.95,23144.05,100,23149.95,25,525,6193900
NIFTY-II.NFO,27/05/2024,09:15:05,23145.75,23140.15,25,23143.6,75,175,6193900
NIFTY-II.NFO,27/05/2024,09:15:06,23142.75,23140.2,100,23143.25,225,75,6193900
NIFTY-II.NFO,27/05/2024,09:15:07,23150,23150.05,125,23158.25,100,1150,6193900
NIFTY-II.NFO,27/05/2024,09:15:08,23140.15,23140.05,25,23146.95,100,850,6193900
NIFTY-II.NFO,27/05/2024,09:15:09,23142.75,23142.75,100,23148.6,100,500,6193900
NIFTY-II.NFO,27/05/2024,09:15:10,23141,23140.2,100,23142.75,25,250,6193900
NIFTY-II.NFO,27/05/2024,09:15:11,23145.65,23144,75,23149.95,50,250,6193900
NIFTY-II.NFO,27/05/2024,09:15:12,23143.6,23147.25,125,23149.95,50,75,6193900
NIFTY-II.NFO,27/05/2024,09:15:13,23143.6,23143.6,925,23147.45,125,175,6193900
NIFTY-II.NFO,27/05/2024,09:15:15,23150,23150,50,23152.6,250,950,6193900
NIFTY-II.NFO,27/05/2024,09:15:16,23148,23145,125,23150,25,675,6193900
NIFTY-II.NFO,27/05/2024,09:15:17,23144.15,23144.65,50,23150,25,375,6193900
NIFTY-II.NFO,27/05/2024,09:15:18,23144.45,23145.35,75,23154.3,100,125,6193900
NIFTY-II.NFO,27/05/2024,09:15:19,23145.35,23145.35,50,23150,25,25,6193900
NIFTY-II.NFO,27/05/2024,09:15:20,23144.45,23143.6,475,23150,25,50,6193900
NIFTY-II.NFO,27/05/2024,09:15:21,23149.05,23144.35,125,23149.1,25,150,6193900
NIFTY-II.NFO,27/05/2024,09:15:23,23143.9,23144.4,50,23149.05,100,575,6193900
NIFTY-II.NFO,27/05/2024,09:15:24,23149.05,23145,25,23148.95,100,100,6193900
NIFTY-II.NFO,27/05/2024,09:15:25,23144.3,23145.65,25,23148,25,275,6193900
NIFTY-II.NFO,27/05/2024,09:15:26,23149,23144.15,50,23149,100,250,6193900
NIFTY-II.NFO,27/05/2024,09:15:27,23149,23144.2,100,23149,100,75,6193900
NIFTY-II.NFO,27/05/2024,09:15:29,23144.15,23145.2,250,23149,100,300,6193900
NIFTY-II.NFO,27/05/2024,09:15:30,23149,23144.15,100,23149,25,200,6193900
NIFTY-II.NFO,27/05/2024,09:15:31,23145,23145.2,100,23149,450,275,6193900
NIFTY-II.NFO,27/05/2024,09:15:32,23149,23147.1,25,23149,300,275,6193900
NIFTY-II.NFO,27/05/2024,09:15:33,23149,23145,100,23148.55,50,100,6193900
NIFTY-II.NFO,27/05/2024,09:15:34,23144.15,23144.15,25,23144.7,75,225,6193825
NIFTY-II.NFO,27/05/2024,09:15:35,23144.2,23141.9,125,23144.1,150,1175,6193825
NIFTY-II.NFO,27/05/2024,09:15:37,23140.2,23135.2,100,23139.5,400,900,6193825
NIFTY-II.NFO,27/05/2024,09:15:38,23135.1,23134.85,100,23141.55,50,50,6193825
NIFTY-II.NFO,27/05/2024,09:15:39,23140,23134.2,125,23137.75,550,200,6193825
