Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,14/11/2024,09:15:00,23800,23808.6,100,23834.45,125,150,0
NIFTY-II.NFO,14/11/2024,09:15:00,23800,23808.6,100,23834.45,125,0,0
NIFTY-II.NFO,14/11/2024,09:15:00,23800,23808.6,100,23834.45,125,0,0
NIFTY-II.NFO,14/11/2024,09:15:00,23799.95,23808.6,100,23834.45,125,0,0
NIFTY-II.NFO,14/11/2024,09:15:01,23809.45,23803.9,50,23812.55,150,450,1541675
NIFTY-II.NFO,14/11/2024,09:15:01,23821.6,23803.9,50,23812.55,150,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:03,23803.25,23807.95,100,23815.55,25,600,1541675
NIFTY-II.NFO,14/11/2024,09:15:04,23827.55,23811.6,100,23825.2,25,525,1541675
NIFTY-II.NFO,14/11/2024,09:15:04,23827.55,23811.6,100,23825.2,25,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:06,23839.35,23823.55,100,23839.2,75,800,1541675
NIFTY-II.NFO,14/11/2024,09:15:06,23839.35,23823.55,100,23839.2,75,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:07,23828.35,23828.3,50,23839.85,100,175,1541675
NIFTY-II.NFO,14/11/2024,09:15:09,23833.45,23833.35,50,23844.7,100,150,1541675
NIFTY-II.NFO,14/11/2024,09:15:09,23843.2,23833.35,50,23844.7,100,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:11,23844.6,23836.05,100,23844.6,100,100,1541675
NIFTY-II.NFO,14/11/2024,09:15:11,23844.6,23836.05,100,23844.6,100,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:12,23836.6,23837.2,50,23845.95,25,125,1541675
NIFTY-II.NFO,14/11/2024,09:15:14,23845.95,23836.25,50,23845.8,100,25,1541675
NIFTY-II.NFO,14/11/2024,09:15:14,23845.95,23836.25,50,23845.8,100,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:15,23850.9,23848.35,50,23860.7,100,600,1541675
NIFTY-II.NFO,14/11/2024,09:15:15,23850.9,23848.35,50,23860.7,100,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:17,23860.6,23855,100,23860.65,25,150,1541675
NIFTY-II.NFO,14/11/2024,09:15:17,23860.6,23855,100,23860.65,25,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:18,23865.35,23855.95,50,23865.6,25,425,1541675
NIFTY-II.NFO,14/11/2024,09:15:18,23869.45,23855.95,50,23865.6,25,0,1541675
NIFTY-II.NFO,14/11/2024,09:15:20,23860.6,23848.15,100,23860.7,50,75,1541675
NIFTY-II.NFO,14/11/2024,09:15:21,23846.85,23846.85,25,23855.9,100,175,1541675
NIFTY-II.NFO,14/11/2024,09:15:23,23845.85,23845.8,175,23848.1,50,75,1541675
NIFTY-II.NFO,14/11/2024,09:15:25,23842.55,23839,25,23842.55,75,1350,1541675
