Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-III.NFO,29/11/2024,09:16:29,24403.4,24416.3,300,24429.75,450,600,0
NIFTY-III.NFO,29/11/2024,09:16:29,24426.05,24416.3,300,24429.75,450,0,0
NIFTY-III.NFO,29/11/2024,09:16:29,24438.75,24416.3,300,24429.75,450,0,0
NIFTY-III.NFO,29/11/2024,09:16:29,24403.4,24416.3,300,24429.75,450,0,0
NIFTY-III.NFO,29/11/2024,09:17:45,24416.7,24416.9,225,24429.45,300,225,0
NIFTY-III.NFO,29/11/2024,09:18:59,24429.45,24420.45,375,24429.45,300,375,600
NIFTY-III.NFO,29/11/2024,09:20:14,24429,24422.7,375,24429.5,75,1200,600
NIFTY-III.NFO,29/11/2024,09:21:33,24431,24419.65,300,24428.15,525,1425,1800
NIFTY-III.NFO,29/11/2024,09:21:33,24439.95,24419.65,300,24428.15,525,0,1800
NIFTY-III.NFO,29/11/2024,09:22:48,24416.55,24408.05,225,24416.65,300,1500,1800
NIFTY-III.NFO,29/11/2024,09:23:58,24416,24412,75,24415.95,75,975,3600
NIFTY-III.NFO,29/11/2024,09:25:10,24400,24400,75,24406.65,75,1275,3600
NIFTY-III.NFO,29/11/2024,09:25:10,24400,24400,75,24406.65,75,0,3600
NIFTY-III.NFO,29/11/2024,09:26:22,24393.25,24398,150,24405,75,2400,3600
NIFTY-III.NFO,29/11/2024,09:26:22,24387,24398,150,24405,75,0,3600
NIFTY-III.NFO,29/11/2024,09:27:38,24434,24435.65,75,24436.25,75,2100,6000
NIFTY-III.NFO,29/11/2024,09:27:38,24445.35,24435.65,75,24436.25,75,0,6000
NIFTY-III.NFO,29/11/2024,09:28:51,24439.65,24436.25,375,24439.35,75,1200,6000
NIFTY-III.NFO,29/11/2024,09:29:59,24450,24450.15,75,24456,75,750,6000
NIFTY-III.NFO,29/11/2024,09:29:59,24450,24450.15,75,24456,75,0,6000
NIFTY-III.NFO,29/11/2024,09:31:13,24450,24444,75,24449.35,75,2175,7950
NIFTY-III.NFO,29/11/2024,09:31:13,24453.15,24444,75,24449.35,75,0,7950
NIFTY-III.NFO,29/11/2024,09:32:27,24448.6,24445,675,24449,225,150,7950
NIFTY-III.NFO,29/11/2024,09:33:44,24457.3,24449,75,24454.6,300,525,9450
NIFTY-III.NFO,29/11/2024,09:33:44,24457.3,24449,75,24454.6,300,0,9450
NIFTY-III.NFO,29/11/2024,09:34:51,24473.5,24472.25,75,24481.05,375,675,9450
NIFTY-III.NFO,29/11/2024,09:34:51,24473.5,24472.25,75,24481.05,375,0,9450
NIFTY-III.NFO,29/11/2024,09:34:53,24473.5,24471.75,75,24480.95,375,0,9450
NIFTY-III.NFO,29/11/2024,09:34:55,24473.5,24470.75,75,24479.2,225,0,9450
NIFTY-III.NFO,29/11/2024,09:34:56,24473.5,24471.95,375,24475,75,0,9450
NIFTY-III.NFO,29/11/2024,09:34:58,24473.5,24472.5,375,24475,75,0,9450
NIFTY-III.NFO,29/11/2024,09:35:00,24472.5,24472.5,300,24475,75,75,9450
NIFTY-III.NFO,29/11/2024,09:35:01,24472.5,24474,150,24475,75,0,9450
NIFTY-III.NFO,29/11/2024,09:35:03,24472.5,24474,75,24475,75,0,9450
NIFTY-III.NFO,29/11/2024,09:35:06,24474,24469.95,75,24474.55,375,75,9450
NIFTY-III.NFO,29/11/2024,09:35:06,24474,24469.95,75,24474.55,375,0,9450
NIFTY-III.NFO,29/11/2024,09:35:08,24474,24469.95,75,24474.55,75,0,9450
NIFTY-III.NFO,29/11/2024,09:35:10,24474,24469.95,75,24475,75,0,9450
NIFTY-III.NFO,29/11/2024,09:35:16,24479.2,24469.95,150,24477.75,300,1500,9450
NIFTY-III.NFO,29/11/2024,09:35:16,24479.2,24469.95,150,24477.75,300,0,9450
NIFTY-III.NFO,29/11/2024,09:35:18,24479.2,24470,150,24478.75,300,0,9450
NIFTY-III.NFO,29/11/2024,09:35:20,24479.2,24469.95,75,24476.45,300,0,9450
NIFTY-III.NFO,29/11/2024,09:35:22,24469.95,24463.4,75,24469.9,300,75,9450
NIFTY-III.NFO,29/11/2024,09:35:23,24469.95,24458.45,75,24466.6,300,0,9450
NIFTY-III.NFO,29/11/2024,09:35:25,24466.5,24457.3,225,24465.7,375,75,9450
NIFTY-III.NFO,29/11/2024,09:35:27,24466.5,24455.7,75,24468.5,225,0,9450
NIFTY-III.NFO,29/11/2024,09:35:28,24466.5,24457.7,150,24467,225,0,9450
NIFTY-III.NFO,29/11/2024,09:35:30,24466.5,24460.4,150,24469.35,225,0,9450
NIFTY-III.NFO,29/11/2024,09:35:31,24466.5,24459.45,75,24469.45,225,0,9450
NIFTY-III.NFO,29/11/2024,09:35:33,24466.5,24457.85,225,24467.45,225,0,9450
NIFTY-III.NFO,29/11/2024,09:35:35,24466.5,24460.8,75,24465.85,225,0,9450
NIFTY-III.NFO,29/11/2024,09:35:36,24466.5,24461.5,75,24465.95,225,0,9450
