Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BANKNIFTY-II.NFO,07/10/2024,09:15:00,52250,52242.15,60,52315,15,30,0
BANKNIFTY-II.NFO,07/10/2024,09:15:00,52250,52242.15,60,52315,15,0,0
BANKNIFTY-II.NFO,07/10/2024,09:15:00,52250,52242.15,60,52315,15,0,0
BANKNIFTY-II.NFO,07/10/2024,09:15:00,52241.55,52242.15,60,52315,15,0,0
BANKNIFTY-II.NFO,07/10/2024,09:15:12,52375.75,52380.55,180,52414.4,60,1215,257340
BANKNIFTY-II.NFO,07/10/2024,09:15:12,52388.5,52380.55,180,52414.4,60,0,257340
BANKNIFTY-II.NFO,07/10/2024,09:15:25,52378.3,52380.4,30,52412.65,60,390,257340
BANKNIFTY-II.NFO,07/10/2024,09:15:25,52426.9,52380.4,30,52412.65,60,0,257340
BANKNIFTY-II.NFO,07/10/2024,09:15:38,52408.15,52411.05,75,52418.9,75,360,257340
BANKNIFTY-II.NFO,07/10/2024,09:15:51,52425.95,52416.55,15,52425.95,60,360,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:03,52410,52403.6,150,52421.35,90,210,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:16,52425.4,52411.8,105,52425.35,60,480,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:16,52439.35,52411.8,105,52425.35,60,0,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:28,52421.2,52425,15,52437.95,60,150,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:40,52425,52425,60,52430,15,90,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:53,52449.95,52437.45,105,52448.25,45,615,257340
BANKNIFTY-II.NFO,07/10/2024,09:16:53,52450,52437.45,105,52448.25,45,0,257340
BANKNIFTY-II.NFO,07/10/2024,09:17:05,52437.7,52430.95,15,52437.55,45,585,257340
BANKNIFTY-II.NFO,07/10/2024,09:17:16,52443.3,52437,15,52443.1,15,60,257340
BANKNIFTY-II.NFO,07/10/2024,09:17:27,52431,52430,165,52439.95,45,165,257340
BANKNIFTY-II.NFO,07/10/2024,09:17:38,52429.1,52425,45,52435,15,210,257340
BANKNIFTY-II.NFO,07/10/2024,09:17:50,52405.05,52405,30,52423.45,30,315,257340
BANKNIFTY-II.NFO,07/10/2024,09:18:03,52407.35,52410.4,15,52419.55,15,180,257340
BANKNIFTY-II.NFO,07/10/2024,09:18:08,52407.35,52406.45,15,52410.4,15,0,257340
BANKNIFTY-II.NFO,07/10/2024,09:18:09,52407.35,52401.15,60,52407.35,15,0,257340
BANKNIFTY-II.NFO,07/10/2024,09:18:11,52399.65,52397.55,15,52410.4,15,45,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:13,52399.65,52399.35,45,52410.4,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:14,52402.45,52402,60,52410.4,15,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:16,52402.45,52406.1,45,52410.4,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:18,52409.15,52409.85,30,52420,15,45,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:19,52409.15,52410,15,52420,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:21,52409.15,52413.5,15,52420,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:23,52413.5,52415.4,45,52420,15,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:24,52420,52419.65,15,52430,180,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:26,52420,52418.7,15,52430,180,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:28,52430,52419.25,15,52430,165,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:29,52430,52412.9,30,52429.3,75,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:31,52428.95,52412.85,15,52420,15,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:33,52427.95,52414.05,60,52424,120,45,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:34,52427.95,52411.6,45,52424,120,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:36,52411.65,52409,30,52423.95,75,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:38,52418.45,52401.9,60,52418.45,60,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:39,52402,52400.95,45,52411.6,15,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:41,52411.6,52401.45,15,52414.25,75,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:43,52411.6,52408.55,15,52420,135,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:44,52411.6,52409.25,45,52420,135,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:46,52406.15,52407.2,75,52419.95,60,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:48,52406.15,52405.5,15,52419.95,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:49,52406.15,52406.8,60,52419.8,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:51,52406.8,52408.15,45,52419.95,60,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:53,52406.8,52402.75,45,52416.4,75,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:54,52406.8,52404.8,60,52417.3,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:56,52406.8,52402.65,30,52417.45,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:58,52406.8,52406.1,45,52406.8,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:18:59,52406.8,52400,30,52406.8,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:01,52406.8,52400,30,52406.5,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:03,52406.8,52400,30,52404.95,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:04,52380.4,52380.4,15,52398.05,60,90,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:06,52380.4,52372,150,52386.4,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:07,52380.4,52372.05,30,52389.7,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:09,52380.4,52372.05,30,52387.9,75,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:11,52380.4,52372,150,52386.3,75,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:12,52380.4,52372,150,52380.4,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:14,52380.3,52372,120,52377.4,75,60,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:16,52372,52350.05,45,52368,75,120,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:17,52372,52350.05,60,52366.7,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:19,52372,52350,150,52361.3,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:21,52372,52350,150,52360.25,75,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:22,52351.05,52350.05,30,52355,15,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:24,52355,52353,60,52367.55,60,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:26,52355,52350,150,52362.45,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:27,52350,52346,15,52355.4,60,150,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:29,52340,52336,75,52349.55,60,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:31,52340,52337.5,75,52355.55,30,150,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:32,52334.1,52334.1,60,52351.8,45,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:34,52324.35,52322.5,15,52346.1,60,210,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:36,52324.35,52316.2,30,52336.1,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:37,52336.1,52315,15,52327.4,75,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:39,52315,52306.2,30,52325.9,60,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:41,52315,52320.25,30,52338.45,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:42,52317.25,52316.05,45,52333.45,60,60,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:44,52317.05,52314,300,52337.95,75,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:46,52317.05,52325,300,52344.5,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:47,52317.05,52324.05,30,52334,15,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:49,52334,52325.05,30,52343.2,30,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:51,52343,52326.25,30,52347.35,75,90,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:52,52329,52330.05,30,52348.55,45,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:54,52329,52323,225,52342.75,60,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:56,52324,52327.05,30,52347.7,30,150,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:57,52324,52335.05,30,52350,45,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:19:59,52338.05,52346,75,52350,45,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:01,52338.05,52342.35,150,52350,45,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:02,52350,52340,75,52350,15,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:04,52341.05,52332,75,52348.05,45,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:06,52325,52324,15,52339.4,60,105,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:07,52325,52325,15,52341.25,45,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:09,52325,52326,15,52344,45,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:11,52325.6,52325.25,15,52343.1,30,30,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:12,52325.6,52324,15,52333.3,45,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:14,52325.6,52324,15,52330.2,30,0,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:16,52314.6,52300,45,52313.8,75,60,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:17,52325,52325,855,52325.6,15,645,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:19,52325,52325,840,52325.25,15,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:21,52325.25,52325,840,52325.4,15,15,256305
BANKNIFTY-II.NFO,07/10/2024,09:20:22,52334.95,52325,840,52325.05,15,75,256305
