Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-III.NFO,28/10/2024,09:15:00,24500,24534.25,100,24565,25,150,0
NIFTY-III.NFO,28/10/2024,09:15:00,24500,24534.25,100,24565,25,0,0
NIFTY-III.NFO,28/10/2024,09:15:00,24534.25,24534.25,100,24565,25,0,0
NIFTY-III.NFO,28/10/2024,09:15:00,24499.95,24534.25,100,24565,25,0,0
NIFTY-III.NFO,28/10/2024,09:15:01,24560.4,24558.05,25,24565,25,1225,745700
NIFTY-III.NFO,28/10/2024,09:15:01,24560.4,24558.05,25,24565,25,0,745700
NIFTY-III.NFO,28/10/2024,09:15:01,24499.4,24558.05,25,24565,25,0,745700
NIFTY-III.NFO,28/10/2024,09:15:03,24570.05,24555.05,50,24571.85,100,200,745700
NIFTY-III.NFO,28/10/2024,09:15:03,24575,24555.05,50,24571.85,100,0,745700
NIFTY-III.NFO,28/10/2024,09:15:04,24569.85,24554.95,25,24569.85,100,150,745700
NIFTY-III.NFO,28/10/2024,09:15:06,24556.85,24556.8,25,24571.95,100,25,745700
NIFTY-III.NFO,28/10/2024,09:15:07,24556.1,24555.7,25,24571.95,100,50,745700
NIFTY-III.NFO,28/10/2024,09:15:09,24554,24554,125,24569.95,100,100,745700
NIFTY-III.NFO,28/10/2024,09:15:11,24556.7,24559.55,125,24571.95,100,150,745700
NIFTY-III.NFO,28/10/2024,09:15:12,24561.7,24559.25,150,24571.95,100,25,745700
NIFTY-III.NFO,28/10/2024,09:15:14,24561.7,24558.45,125,24571.25,100,25,745700
NIFTY-III.NFO,28/10/2024,09:15:16,24571.55,24558.25,25,24569.95,100,50,745700
NIFTY-III.NFO,28/10/2024,09:15:17,24558.75,24558.75,125,24569.95,100,25,745700
NIFTY-III.NFO,28/10/2024,09:15:19,24558.75,24555.8,125,24567.1,100,0,745700
NIFTY-III.NFO,28/10/2024,09:15:21,24555.65,24555.8,125,24558.75,50,100,745700
NIFTY-III.NFO,28/10/2024,09:15:22,24558.7,24555.5,25,24558.75,75,25,745700
NIFTY-III.NFO,28/10/2024,09:15:24,24555.5,24551.05,150,24558.65,125,25,745700
NIFTY-III.NFO,28/10/2024,09:15:26,24558.65,24555,50,24558.7,25,25,745700
