Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-III.NFO,19/09/2024,09:15:01,25700.05,25730.85,25,25738.75,100,375,388875
NIFTY-III.NFO,19/09/2024,09:15:01,25700.05,25730.85,25,25738.75,100,0,388875
NIFTY-III.NFO,19/09/2024,09:15:01,25735.45,25730.85,25,25738.75,100,0,388875
NIFTY-III.NFO,19/09/2024,09:15:01,25700.05,25730.85,25,25738.75,100,0,388875
NIFTY-III.NFO,19/09/2024,09:15:03,25735,25735,25,25746.95,100,625,388875
NIFTY-III.NFO,19/09/2024,09:15:03,25746.05,25735,25,25746.95,100,0,388875
NIFTY-III.NFO,19/09/2024,09:15:06,25734.4,25734.1,100,25749.45,100,50,388875
NIFTY-III.NFO,19/09/2024,09:15:08,25745.95,25734.7,25,25746.3,100,525,388875
NIFTY-III.NFO,19/09/2024,09:15:10,25739.8,25737.1,25,25744.95,100,200,388875
NIFTY-III.NFO,19/09/2024,09:15:13,25750.05,25750,2175,25750.4,25,1150,388875
NIFTY-III.NFO,19/09/2024,09:15:13,25750.1,25750,2175,25750.4,25,0,388875
NIFTY-III.NFO,19/09/2024,09:15:15,25754.4,25750,2000,25754.4,25,225,388875
NIFTY-III.NFO,19/09/2024,09:15:15,25754.4,25750,2000,25754.4,25,0,388875
NIFTY-III.NFO,19/09/2024,09:15:17,25750,25750,1900,25755,50,150,388875
NIFTY-III.NFO,19/09/2024,09:15:20,25750,25750,1675,25754.4,25,275,388875
NIFTY-III.NFO,19/09/2024,09:15:22,25755,25755,1450,25760,175,350,388875
NIFTY-III.NFO,19/09/2024,09:15:22,25755,25755,1450,25760,175,0,388875
NIFTY-III.NFO,19/09/2024,09:15:25,25756.1,25756.15,25,25760,200,1075,388875
NIFTY-III.NFO,19/09/2024,09:15:25,25756.1,25756.15,25,25760,200,0,388875
NIFTY-III.NFO,19/09/2024,09:15:27,25760,25758.5,25,25760,25,325,388875
NIFTY-III.NFO,19/09/2024,09:15:27,25760,25758.5,25,25760,25,0,388875
NIFTY-III.NFO,19/09/2024,09:15:30,25760,25760,275,25764.95,25,175,388875
NIFTY-III.NFO,19/09/2024,09:15:32,25760.05,25760.05,25,25764.95,25,50,388875
NIFTY-III.NFO,19/09/2024,09:15:32,25760.05,25760.05,25,25764.95,25,0,388875
NIFTY-III.NFO,19/09/2024,09:15:34,25760,25758.8,200,25767,25,1250,388875
NIFTY-III.NFO,19/09/2024,09:15:34,25765,25758.8,200,25767,25,0,388875
NIFTY-III.NFO,19/09/2024,09:15:37,25760,25760.3,125,25767,25,125,388875
NIFTY-III.NFO,19/09/2024,09:15:37,25766.95,25760.3,125,25767,25,0,388875
NIFTY-III.NFO,19/09/2024,09:15:39,25770,25770,350,25771.95,100,950,388875
NIFTY-III.NFO,19/09/2024,09:15:39,25770,25770,350,25771.95,100,0,388875
NIFTY-III.NFO,19/09/2024,09:15:42,25760.55,25762.4,100,25774.65,100,1350,390225
NIFTY-III.NFO,19/09/2024,09:15:42,25772,25762.4,100,25774.65,100,0,390225
NIFTY-III.NFO,19/09/2024,09:15:44,25761.75,25763.15,50,25773.25,100,850,390225
NIFTY-III.NFO,19/09/2024,09:15:46,25770,25764.4,100,25774.65,100,675,390225
NIFTY-III.NFO,19/09/2024,09:15:46,25775,25764.4,100,25774.65,100,0,390225
NIFTY-III.NFO,19/09/2024,09:15:49,25769.9,25764.75,25,25770,25,150,390225
NIFTY-III.NFO,19/09/2024,09:15:51,25762.7,25765.05,25,25770,75,50,390225
NIFTY-III.NFO,19/09/2024,09:15:53,25762.7,25765.05,25,25770,200,0,390225
NIFTY-III.NFO,19/09/2024,09:15:56,25765,25765,25,25770,275,125,390225
NIFTY-III.NFO,19/09/2024,09:15:58,25770,25766,75,25770,225,150,390225
NIFTY-III.NFO,19/09/2024,09:16:01,25775,25767.5,75,25775,75,675,390225
NIFTY-III.NFO,19/09/2024,09:16:03,25771.3,25771,50,25777,50,250,390225
NIFTY-III.NFO,19/09/2024,09:16:05,25770,25771.4,125,25777,25,1875,390225
NIFTY-III.NFO,19/09/2024,09:16:05,25777,25771.4,125,25777,25,0,390225
NIFTY-III.NFO,19/09/2024,09:16:08,25771.65,25771.25,125,25775,75,75,390225
NIFTY-III.NFO,19/09/2024,09:16:10,25770.85,25770.7,350,25779.9,75,675,390225
NIFTY-III.NFO,19/09/2024,09:16:10,25779.95,25770.7,350,25779.9,75,0,390225
NIFTY-III.NFO,19/09/2024,09:16:13,25775,25771.1,25,25775,125,150,390225
NIFTY-III.NFO,19/09/2024,09:16:15,25769.8,25769.75,125,25775,50,325,390225
NIFTY-III.NFO,19/09/2024,09:16:17,25775,25769.8,25,25775,50,50,390225
NIFTY-III.NFO,19/09/2024,09:16:20,25775,25767.85,50,25775,25,75,390225
NIFTY-III.NFO,19/09/2024,09:16:22,25768.65,25769.4,325,25770.95,75,225,390225
NIFTY-III.NFO,19/09/2024,09:16:24,25771.25,25771,575,25774.95,25,250,390225
NIFTY-III.NFO,19/09/2024,09:16:27,25771,25771.1,275,25775,175,75,390225
NIFTY-III.NFO,19/09/2024,09:16:29,25775,25773.55,250,25780,600,250,390225
NIFTY-III.NFO,19/09/2024,09:16:32,25772.5,25772.5,225,25775,75,50,390225
NIFTY-III.NFO,19/09/2024,09:16:34,25772.75,25772.8,125,25779.95,100,1225,390225
NIFTY-III.NFO,19/09/2024,09:16:34,25780,25772.8,125,25779.95,100,0,390225
NIFTY-III.NFO,19/09/2024,09:16:36,25775,25772.6,25,25778,50,25,390225
NIFTY-III.NFO,19/09/2024,09:16:39,25775,25774.4,125,25775,125,225,390225
NIFTY-III.NFO,19/09/2024,09:16:41,25774.9,25776.3,25,25778,50,200,390225
NIFTY-III.NFO,19/09/2024,09:16:43,25778.35,25775.25,25,25778.35,175,475,390225
NIFTY-III.NFO,19/09/2024,09:16:46,25776.35,25776.55,125,25778.35,150,75,390225
NIFTY-III.NFO,19/09/2024,09:16:48,25778.35,25775.55,125,25778.35,125,75,390225
NIFTY-III.NFO,19/09/2024,09:16:50,25776.75,25776.15,125,25778.35,175,200,390225
NIFTY-III.NFO,19/09/2024,09:16:53,25778.35,25778.4,25,25780,250,175,390225
NIFTY-III.NFO,19/09/2024,09:16:55,25779.2,25778.8,25,25780,300,50,390225
NIFTY-III.NFO,19/09/2024,09:16:58,25781,25781.05,25,25783.4,25,325,390225
NIFTY-III.NFO,19/09/2024,09:16:58,25781,25781.05,25,25783.4,25,0,390225
NIFTY-III.NFO,19/09/2024,09:17:00,25777.85,25776.45,50,25780.4,25,150,390225
NIFTY-III.NFO,19/09/2024,09:17:02,25780,25780,50,25783.35,100,100,390225
NIFTY-III.NFO,19/09/2024,09:17:05,25780,25777.7,125,25780,25,50,390225
NIFTY-III.NFO,19/09/2024,09:17:07,25780,25779.55,50,25781,25,150,390225
