Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-III.NFO,01/04/2025,09:15:01,23800,23729,75,23752.25,150,150,172650
NIFTY-III.NFO,01/04/2025,09:15:01,23750,23729,75,23752.25,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:01,23800,23729,75,23752.25,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:01,23750,23729,75,23752.25,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:03,23769.5,23742.65,150,23769.5,75,75,172650
NIFTY-III.NFO,01/04/2025,09:15:05,23769.5,23744.85,150,23759.6,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:06,23769.5,23750.45,150,23768.05,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:08,23769.5,23743.2,150,23768.85,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:10,23769.5,23745.2,150,23763.95,75,0,172650
NIFTY-III.NFO,01/04/2025,09:15:11,23769.5,23746.45,150,23766.75,75,0,172650
NIFTY-III.NFO,01/04/2025,09:15:13,23769.5,23746.5,150,23768.05,150,0,172650
NIFTY-III.NFO,01/04/2025,09:15:14,23764.45,23747.45,150,23769.65,75,150,172650
NIFTY-III.NFO,01/04/2025,09:15:16,23764.45,23750.05,150,23752.45,75,0,172650
NIFTY-III.NFO,01/04/2025,09:15:18,23750,23746.45,75,23765.65,150,375,172650
NIFTY-III.NFO,01/04/2025,09:15:19,23768.85,23751.3,150,23768.85,75,75,172650
NIFTY-III.NFO,01/04/2025,09:15:21,23751.65,23769.5,75,23769.95,150,75,172650
NIFTY-III.NFO,01/04/2025,09:15:22,23757.35,23757.45,150,23760.05,75,150,172650
NIFTY-III.NFO,01/04/2025,09:15:24,23757.35,23757.45,150,23761.15,75,0,172650
NIFTY-III.NFO,01/04/2025,09:15:25,23757.35,23758.55,75,23763.35,75,0,172650
NIFTY-III.NFO,01/04/2025,09:15:27,23757.35,23757.45,150,23768,75,0,172650
NIFTY-III.NFO,01/04/2025,09:15:29,23758.5,23759.45,75,23769.95,150,150,172875
NIFTY-III.NFO,01/04/2025,09:15:30,23758.5,23759,150,23769.95,150,0,172875
NIFTY-III.NFO,01/04/2025,09:15:32,23764.5,23764.5,75,23768.8,75,150,172875
NIFTY-III.NFO,01/04/2025,09:15:33,23767,23764.75,75,23770,75,75,172875
NIFTY-III.NFO,01/04/2025,09:15:35,23769.95,23764.95,150,23770.6,75,300,172875
NIFTY-III.NFO,01/04/2025,09:15:37,23769.95,23768.8,150,23774.5,75,0,172875
