Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BANKNIFTY-I.NFO,24/04/2025,09:15:00,55244,55230,150,55234.8,90,1560,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:00,55244,55230,150,55234.8,90,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:00,55335.8,55230,150,55234.8,90,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:00,55220,55230,150,55234.8,90,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:01,55245.8,55230.2,30,55245.8,90,270,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:02,55244.6,55238.2,30,55249.6,120,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:03,55245.8,55237.8,120,55263.8,120,300,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:04,55238.8,55247.8,90,55271.8,120,180,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:05,55278.8,55236.6,30,55259.6,120,90,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:05,55258.8,55237.2,120,55255,120,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:06,55245.4,55247.4,60,55269.4,120,120,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:08,55245.6,55260,60,55269.6,30,150,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:09,55260,55260,30,55273.2,120,90,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:10,55269,55260,30,55269.2,150,300,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:11,55260,55249.4,120,55269.8,120,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:12,55249.8,55244.2,120,55265.8,120,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:13,55270.8,55248.4,90,55268,120,90,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:14,55270.8,55244,360,55258.8,90,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:15,55254,55244,300,55253.2,90,120,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:16,55244,55228,90,55246.4,120,330,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:17,55228.4,55233.2,30,55246.4,90,720,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:18,55231.6,55231.6,90,55248.6,120,720,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:19,55226.6,55227.2,120,55247.4,60,810,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:20,55220.4,55218.8,150,55237.4,30,300,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:21,55229,55225.6,120,55243.2,120,90,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:23,55243.2,55227.6,30,55241,180,90,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:24,55243.2,55226,120,55244.6,120,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:25,55222,55222,90,55241,30,60,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:26,55227.2,55225.4,120,55242.6,120,150,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:27,55224,55223,150,55241.4,210,960,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:28,55223,55224.2,30,55240.4,120,120,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:29,55224.2,55222,120,55224.2,30,600,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:30,55222.8,55219.6,90,55236.8,120,150,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:31,55237.4,55224.2,30,55235.4,120,120,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:33,55218.4,55218.2,90,55234.8,150,150,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:33,55218.4,55218.2,90,55234.8,150,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:34,55218.2,55222.6,150,55239.4,120,300,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:34,55218.2,55222.6,150,55239.4,120,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:35,55218.2,55226.4,30,55234,30,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:36,55226,55227.8,90,55234,30,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:37,55228.6,55228.4,60,55243.8,120,60,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:38,55239.8,55226,30,55239.8,120,180,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:39,55240,55240,870,55244,30,150,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:41,55240.6,55222.8,150,55238,270,930,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:42,55223.6,55225.2,60,55241.6,120,540,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:43,55225.2,55225.2,120,55241,120,90,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:44,55225.8,55224.6,60,55241,120,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:45,55225,55222.8,30,55237,180,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:46,55232.6,55215.4,30,55232,120,420,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:48,55230,55211.2,30,55225.4,150,240,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:48,55216.2,55211.2,30,55225.4,150,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:49,55225.4,55215,30,55225.4,30,150,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:50,55225.4,55219.4,150,55220,1170,60,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:50,55215,55219.4,150,55220,1170,0,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:51,55220,55222.4,60,55239.6,120,1530,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:52,55225,55219,60,55237.6,180,30,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:53,55239.8,55221.8,120,55238.6,120,180,1230660
BANKNIFTY-I.NFO,24/04/2025,09:15:55,55221.8,55220.2,60,55238.8,120,240,1230300
BANKNIFTY-I.NFO,24/04/2025,09:15:56,55237,55226,30,55237.8,120,390,1230300
BANKNIFTY-I.NFO,24/04/2025,09:15:57,55218.8,55220.4,30,55236,90,90,1230300
BANKNIFTY-I.NFO,24/04/2025,09:15:58,55238.4,55218.6,30,55234.8,120,60,1230300
BANKNIFTY-I.NFO,24/04/2025,09:15:59,55238.4,55220,30,55231.4,30,0,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:01,55229.4,55221.8,30,55235,30,30,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:02,55232.6,55232.6,120,55237,120,270,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:03,55232.6,55233.2,60,55237,120,0,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:04,55237.8,55237.8,90,55250.6,30,210,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:05,55260,55249,120,55264.8,120,420,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:07,55251.8,55253.4,120,55270,60,240,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:08,55264.2,55265.6,30,55270,60,90,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:09,55270,55265.4,120,55275,30,210,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:10,55279.6,55270,540,55281,300,510,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:11,55270,55270,480,55270.4,60,570,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:13,55264.8,55264.2,60,55271.2,30,510,1230300
BANKNIFTY-I.NFO,24/04/2025,09:16:14,55270,55264.2,60,55270.2,90,30,1230300
