Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BANKNIFTY-III.NFO,24/04/2025,09:15:00,55849,55521.2,150,55694.8,60,450,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:00,55849,55521.2,150,55694.8,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:00,55849,55521.2,150,55694.8,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:00,55574.8,55521.2,150,55694.8,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:01,55550,55537.2,150,55550,180,390,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:01,55537.2,55537.2,150,55550,180,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:02,55599.6,55558.8,30,55600,150,420,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:04,55565.2,55556.4,150,55600,150,540,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:05,55565.2,55566.6,30,55599.8,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:06,55565.2,55559.6,30,55599.8,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:07,55565.2,55563.2,30,55599.8,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:08,55599.8,55589.8,30,55600,150,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:08,55586.6,55585,30,55600,60,150,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:09,55600,55576.6,30,55600,30,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:10,55600,55575.6,30,55600,30,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:11,55600,55581.4,30,55600,30,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:13,55599.8,55580.6,30,55600,30,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:14,55599.8,55576.4,30,55600,30,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:15,55599.8,55565.4,30,55599.6,60,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:16,55599.8,55565.4,30,55599.6,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:19,55599.8,55574,30,55599.6,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:21,55599.8,55574.2,30,55599.6,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:23,55599.6,55574.2,30,55599.6,30,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:25,55599.6,55574,30,55599.6,30,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:26,55599.6,55586,30,55599.6,30,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:30,55599.6,55586,30,55599.6,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:31,55586,55574.2,30,55599.6,90,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:32,55586,55574.2,30,55599.6,90,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:35,55586,55574.2,60,55599.6,90,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:37,55599.6,55574.2,60,55599.6,60,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:38,55599.6,55574.2,60,55599.6,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:39,55599.6,55586,30,55599.6,60,0,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:41,55586,55574.2,30,55599.6,60,30,193020
BANKNIFTY-III.NFO,24/04/2025,09:15:43,55586,55574.2,30,55599.6,60,0,193020
