Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,16/01/2025,09:15:01,23529.7,23525.3,300,23539.95,300,525,2906625
NIFTY-II.NFO,16/01/2025,09:15:01,23539.5,23525.3,300,23539.95,300,0,2906625
NIFTY-II.NFO,16/01/2025,09:15:01,23549.95,23525.3,300,23539.95,300,0,2906625
NIFTY-II.NFO,16/01/2025,09:15:01,23529.7,23525.3,300,23539.95,300,0,2906625
NIFTY-II.NFO,16/01/2025,09:15:03,23510,23509.2,75,23511.1,75,1575,2906625
NIFTY-II.NFO,16/01/2025,09:15:03,23510,23509.2,75,23511.1,75,0,2906625
NIFTY-II.NFO,16/01/2025,09:15:05,23520.7,23514.35,300,23520.7,75,3300,2906625
NIFTY-II.NFO,16/01/2025,09:15:05,23495.15,23514.35,300,23520.7,75,0,2906625
NIFTY-II.NFO,16/01/2025,09:15:06,23518.25,23518.2,75,23528.7,300,750,2906625
NIFTY-II.NFO,16/01/2025,09:15:08,23518.1,23510.35,375,23518.1,75,375,2906625
NIFTY-II.NFO,16/01/2025,09:15:10,23522.05,23517.8,225,23522.2,75,600,2906625
NIFTY-II.NFO,16/01/2025,09:15:11,23520.85,23520.85,600,23524.95,75,600,2906625
NIFTY-II.NFO,16/01/2025,09:15:13,23520.9,23520.9,75,23525,150,300,2906625
NIFTY-II.NFO,16/01/2025,09:15:15,23520.9,23520.85,525,23525,150,75,2906625
NIFTY-II.NFO,16/01/2025,09:15:16,23525,23521.95,375,23531,75,750,2906625
NIFTY-II.NFO,16/01/2025,09:15:18,23520.85,23520.85,75,23530,75,225,2906625
NIFTY-II.NFO,16/01/2025,09:15:19,23519.15,23520.9,75,23529.95,300,450,2906625
NIFTY-II.NFO,16/01/2025,09:15:21,23518.55,23517.4,525,23528.15,300,225,2906625
NIFTY-II.NFO,16/01/2025,09:15:23,23514.25,23511.85,375,23519.95,300,75,2906625
NIFTY-II.NFO,16/01/2025,09:15:24,23511.85,23512.25,150,23524.5,300,375,2906625
NIFTY-II.NFO,16/01/2025,09:15:26,23524.95,23517.95,375,23524.95,300,300,2906625
NIFTY-II.NFO,16/01/2025,09:15:28,23524.95,23517.4,75,23524.95,300,0,2906625
NIFTY-II.NFO,16/01/2025,09:15:29,23518.35,23516.3,150,23524.95,375,525,2906625
NIFTY-II.NFO,16/01/2025,09:15:31,23520,23520,675,23524.9,300,525,2906625
NIFTY-II.NFO,16/01/2025,09:15:33,23520,23520,225,23524.9,300,525,2906625
NIFTY-II.NFO,16/01/2025,09:15:34,23524.9,23520,150,23524.9,300,150,2906625
NIFTY-II.NFO,16/01/2025,09:15:36,23520,23518.35,75,23524.9,300,150,2907000
NIFTY-II.NFO,16/01/2025,09:15:38,23515.85,23517.75,75,23524.9,375,150,2907000
NIFTY-II.NFO,16/01/2025,09:15:39,23524.9,23516.05,150,23524.9,375,75,2907000
NIFTY-II.NFO,16/01/2025,09:15:41,23515.6,23515,75,23518,75,75,2907000
NIFTY-II.NFO,16/01/2025,09:15:43,23521.3,23515.05,150,23521.35,75,150,2907000
NIFTY-II.NFO,16/01/2025,09:15:44,23521.3,23515.05,150,23522.4,300,0,2907000
NIFTY-II.NFO,16/01/2025,09:15:46,23516.3,23516.3,225,23523.15,300,150,2907000
NIFTY-II.NFO,16/01/2025,09:15:48,23516.3,23517.25,75,23523.2,375,0,2907000
NIFTY-II.NFO,16/01/2025,09:15:49,23516.3,23515.05,225,23523.15,375,0,2907000
NIFTY-II.NFO,16/01/2025,09:15:51,23515,23514.5,75,23521.8,450,975,2907000
NIFTY-II.NFO,16/01/2025,09:15:53,23513.85,23510.75,150,23516.55,150,75,2907000
NIFTY-II.NFO,16/01/2025,09:15:54,23515,23515.15,150,23516.55,75,75,2907000
NIFTY-II.NFO,16/01/2025,09:15:56,23515.05,23514.5,450,23521.3,1200,150,2907000
NIFTY-II.NFO,16/01/2025,09:15:58,23521.3,23515,225,23521.3,1125,300,2907000
NIFTY-II.NFO,16/01/2025,09:15:59,23521.3,23515.35,600,23520,75,0,2907000
NIFTY-II.NFO,16/01/2025,09:16:01,23520,23518.85,75,23521.3,1125,150,2907000
NIFTY-II.NFO,16/01/2025,09:16:03,23521.3,23521.35,225,23524.95,75,1125,2907000
NIFTY-II.NFO,16/01/2025,09:16:04,23521.3,23522.8,150,23524.95,75,0,2907000
NIFTY-II.NFO,16/01/2025,09:16:06,23525,23522.9,75,23525,2775,150,2907000
NIFTY-II.NFO,16/01/2025,09:16:08,23522.9,23521.55,150,23525,2775,75,2907000
NIFTY-II.NFO,16/01/2025,09:16:09,23523.3,23523.5,300,23525,2775,75,2907000
NIFTY-II.NFO,16/01/2025,09:16:11,23523.3,23524.3,675,23525,2775,0,2907000
NIFTY-II.NFO,16/01/2025,09:16:13,23523.65,23522.7,150,23525,2625,375,2907000
NIFTY-II.NFO,16/01/2025,09:16:14,23525,23523.9,150,23525,2625,75,2907000
NIFTY-II.NFO,16/01/2025,09:16:16,23525,23524,150,23530,1125,2625,2907000
NIFTY-II.NFO,16/01/2025,09:16:18,23523.95,23522.85,150,23530,1125,75,2907000
NIFTY-II.NFO,16/01/2025,09:16:19,23523.95,23525,225,23530,1125,0,2907000
NIFTY-II.NFO,16/01/2025,09:16:21,23530,23525,600,23530,1050,150,2907000
NIFTY-II.NFO,16/01/2025,09:16:23,23525,23528.1,750,23530,975,150,2907000
NIFTY-II.NFO,16/01/2025,09:16:24,23531.1,23528.1,600,23531.1,75,1275,2907000
NIFTY-II.NFO,16/01/2025,09:16:26,23531.1,23528.1,450,23531.2,75,300,2907000
NIFTY-II.NFO,16/01/2025,09:16:28,23528.1,23528.1,300,23533.35,150,3375,2907000
NIFTY-II.NFO,16/01/2025,09:16:29,23528.1,23528.1,150,23530,75,300,2907000
NIFTY-II.NFO,16/01/2025,09:16:31,23525.4,23525.25,75,23532,75,450,2907000
NIFTY-II.NFO,16/01/2025,09:16:33,23525,23524.35,150,23533.15,375,675,2907000
NIFTY-II.NFO,16/01/2025,09:16:34,23528.1,23523.95,375,23531.1,375,75,2907000
NIFTY-II.NFO,16/01/2025,09:16:36,23531.1,23524.05,150,23531.1,75,450,2907000
NIFTY-II.NFO,16/01/2025,09:16:38,23531.1,23523.95,375,23529.4,150,0,2907000
NIFTY-II.NFO,16/01/2025,09:16:39,23531.1,23523.95,375,23525,75,0,2907000
NIFTY-II.NFO,16/01/2025,09:16:41,23527.75,23524,375,23530.35,225,225,2907000
NIFTY-II.NFO,16/01/2025,09:16:43,23523.95,23523.95,300,23529.4,75,150,2907000
NIFTY-II.NFO,16/01/2025,09:16:44,23529.4,23523.95,225,23529.65,75,225,2907000
NIFTY-II.NFO,16/01/2025,09:16:46,23523.95,23523.95,150,23527.75,225,150,2907000
