Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BANKNIFTY-II.NFO,26/03/2025,09:15:00,51621.05,51884.05,120,51912.7,30,180,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:00,51621.05,51884.05,120,51912.7,30,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:00,51899,51884.05,120,51912.7,30,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:00,51555.55,51884.05,120,51912.7,30,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:01,51932.7,51913.4,120,51949.7,120,60,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:01,51932.7,51913.4,120,51949.7,120,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:03,51931.95,51932.1,120,51963.15,30,1410,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:03,51964.1,51932.1,120,51963.15,30,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:05,51971.25,51953,120,51982.7,30,90,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:05,51971.25,51953,120,51982.7,30,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:06,51952.9,51963.2,120,51984,30,90,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:08,51971.25,51967.7,30,51979.35,60,270,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:08,51987.95,51967.7,30,51979.35,60,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:10,51963.2,51963.2,90,51969.55,60,480,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:11,51963.25,51963.25,120,51987.95,120,90,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:13,51993.05,51963.25,60,51974.05,90,1050,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:13,51993.05,51963.25,60,51974.05,90,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:15,51963.2,51963.15,120,51974.05,90,240,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:16,51963.2,51963.15,120,51978.05,30,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:18,51963.2,51963.15,120,51972.15,30,30,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:20,51963.15,51963.15,90,51968.3,30,30,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:21,51927.4,51927.4,90,51949.95,30,150,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:23,51950,51927.45,30,51946.7,150,90,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:25,51948.5,51920.05,120,51941.95,150,270,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:26,51920,51917.25,120,51936.75,30,60,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:28,51938.8,51917.2,30,51931.8,210,30,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:30,51909.15,51911.3,120,51939.6,30,60,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:31,51916.7,51916.3,120,51938,30,270,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:33,51923.15,51924.25,30,51955.85,120,1410,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:35,51956.7,51921.6,60,51952.3,120,360,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:36,51956.7,51923.7,60,51956.55,120,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:38,51957.25,51929.05,90,51954.85,120,60,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:40,51935.9,51935.9,30,51960.35,120,30,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:41,51935.9,51930.7,30,51957.3,120,0,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:43,51956.95,51930.05,180,51956.95,90,1080,1831560
BANKNIFTY-II.NFO,26/03/2025,09:15:45,51930.05,51930.05,90,51949.65,120,60,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:46,51946.05,51930.05,120,51945.6,120,30,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:48,51946.05,51932.75,150,51955.15,120,0,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:50,51932.75,51931.3,30,51952,120,60,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:51,51956,51930.55,210,51941.35,30,330,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:53,51932.35,51932.95,120,51951.8,30,30,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:55,51951.85,51941.4,150,51953.15,30,60,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:56,51951.85,51941.35,150,51946.75,30,0,1835490
BANKNIFTY-II.NFO,26/03/2025,09:15:58,51951.4,51941.4,150,51953.4,30,30,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:00,51953.4,51949.7,150,51956,60,60,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:01,51960,51950.75,120,51960,30,150,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:03,51960,51958.05,120,51976,30,90,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:05,51965.2,51962.3,150,51983.1,30,180,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:06,51984.75,51966.05,180,51988,30,60,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:08,51999.9,51987.6,120,51999.9,30,150,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:08,51999.9,51987.6,120,51999.9,30,0,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:10,51988,51988,120,51995.85,30,30,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:11,52000,51988.15,30,51994.6,30,1080,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:11,52000,51988.15,30,51994.6,30,0,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:13,51988.15,51988,30,51993.75,30,780,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:15,51987.2,51970.2,120,51992.8,30,210,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:16,51990,51974.2,150,51992.25,30,30,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:18,51992.75,51974.3,150,51988,30,90,1835490
BANKNIFTY-II.NFO,26/03/2025,09:16:20,51988,51984.1,120,51998.9,30,30,1835490
