t,o,h,l,c,v,oi,series,data_source
2024-05-27 09:15:00,49124.0,49149.0,49073.05,49146.0,43470.0,2123550.0,I,
2024-05-27 09:18:00,49150.0,49174.95,49122.15,49129.5,28560.0,2131950.0,I,
2024-05-27 09:21:00,49134.85,49188.0,49102.0,49185.0,23490.0,2131740.0,I,
2024-05-27 09:24:00,49188.0,49213.85,49174.45,49181.25,29595.0,2127930.0,I,
2024-05-27 09:27:00,49184.75,49191.5,49158.1,49168.9,17685.0,2131350.0,I,
2024-05-27 09:30:00,49174.2,49192.75,49165.7,49180.45,18180.0,2132715.0,I,
2024-05-27 09:33:00,49180.45,49191.45,49144.4,49170.0,22230.0,2140740.0,I,
2024-05-27 09:36:00,49174.45,49268.0,49174.45,49263.1,41700.0,2133090.0,I,
2024-05-27 09:39:00,49260.5,49309.55,49252.2,49290.0,23025.0,2134740.0,I,
2024-05-27 09:42:00,49310.55,49329.45,49280.75,49310.0,22560.0,2131395.0,I,
2024-05-27 09:45:00,49300.95,49323.9,49283.15,49283.3,24510.0,2131170.0,I,
2024-05-27 09:48:00,49283.3,49306.95,49275.0,49305.55,18690.0,2133435.0,I,
2024-05-27 09:51:00,49305.55,49314.0,49279.2,49290.9,13830.0,2134620.0,I,
2024-05-27 09:54:00,49297.15,49302.45,49217.95,49242.75,23490.0,2132925.0,I,
2024-05-27 09:57:00,49236.95,49279.15,49230.0,49255.2,14445.0,2125110.0,I,
2024-05-27 10:00:00,49255.2,49260.0,49227.0,49235.0,12360.0,2124765.0,I,
2024-05-27 10:03:00,49235.75,49288.0,49230.0,49271.6,14235.0,2120325.0,I,
2024-05-27 10:06:00,49277.35,49298.9,49255.3,49298.9,7365.0,2120085.0,I,
2024-05-27 10:09:00,49300.0,49338.25,49295.1,49315.0,22485.0,2116725.0,I,
2024-05-27 10:12:00,49308.7,49314.2,49265.0,49265.0,6495.0,2113665.0,I,
2024-05-27 10:15:00,49272.0,49283.3,49252.9,49275.0,5265.0,2111520.0,I,
2024-05-27 10:18:00,49280.0,49291.95,49260.1,49280.75,6795.0,2110635.0,I,
