t,o,h,l,c,v,oi,series,data_source
2024-05-27 09:15:00,23070.0,23070.0,23040.0,23051.1,127575.0,10763950.0,I,
2024-05-27 09:18:00,23051.2,23054.25,23031.55,23038.45,87300.0,10774725.0,I,
2024-05-27 09:21:00,23035.15,23045.0,23021.45,23044.35,58525.0,10769400.0,I,
2024-05-27 09:24:00,23044.25,23052.0,23026.0,23028.85,32350.0,10778550.0,I,
2024-05-27 09:27:00,23030.0,23034.9,23023.0,23029.55,63600.0,10797325.0,I,
2024-05-27 09:30:00,23029.55,23035.0,23020.0,23024.35,33175.0,10820575.0,I,
2024-05-27 09:33:00,23022.05,23030.0,23012.2,23023.05,35525.0,10837500.0,I,
2024-05-27 09:36:00,23025.0,23048.85,23023.05,23044.3,40625.0,10843850.0,I,
2024-05-27 09:39:00,23044.35,23055.5,23042.5,23049.0,53200.0,10843350.0,I,
2024-05-27 09:42:00,23050.5,23054.0,23042.0,23042.05,35775.0,10853900.0,I,
2024-05-27 09:45:00,23046.5,23051.9,23036.3,23041.4,55400.0,10861250.0,I,
2024-05-27 09:48:00,23041.4,23047.3,23027.0,23039.55,46525.0,10879175.0,I,
2024-05-27 09:51:00,23041.55,23041.8,23028.5,23028.95,59500.0,10895100.0,I,
2024-05-27 09:54:00,23026.5,23028.0,23005.0,23010.9,96725.0,10903900.0,I,
2024-05-27 09:57:00,23011.35,23024.95,23008.8,23013.0,96400.0,10915800.0,I,
2024-05-27 10:00:00,23011.85,23018.4,23000.05,23001.45,74075.0,10918075.0,I,
2024-05-27 10:03:00,23001.5,23012.95,22990.0,23007.1,59600.0,10911550.0,I,
2024-05-27 10:06:00,23009.9,23029.0,23004.95,23025.5,47225.0,10891800.0,I,
2024-05-27 10:09:00,23025.7,23034.0,23018.15,23023.95,34800.0,10868925.0,I,
2024-05-27 10:12:00,23024.0,23024.0,23008.0,23008.25,31450.0,10870200.0,I,
2024-05-27 10:15:00,23007.25,23013.35,23001.8,23007.85,23500.0,10867925.0,I,
2024-05-27 10:18:00,23006.3,23012.0,22998.0,23007.2,20950.0,10869700.0,I,
2024-05-27 10:21:00,23007.2,23025.0,23007.2,23021.65,23150.0,10868300.0,I,
2024-05-27 10:24:00,23020.0,23035.0,23020.0,23029.5,25525.0,10872950.0,I,
2024-05-27 10:27:00,23029.4,23041.4,23022.55,23036.8,47925.0,10878825.0,I,
2024-05-27 10:30:00,23036.8,23040.0,23031.3,23038.0,21900.0,10878075.0,I,
2024-05-27 10:33:00,23039.55,23048.25,23036.8,23041.35,24525.0,10879650.0,I,
2024-05-27 10:36:00,23041.35,23045.15,23035.3,23045.15,17600.0,10886600.0,I,
2024-05-27 10:39:00,23044.05,23055.0,23044.05,23050.5,22900.0,10880525.0,I,
2024-05-27 10:42:00,23051.5,23055.5,23044.0,23053.0,26675.0,10888475.0,I,
2024-05-27 10:45:00,23054.95,23058.5,23050.0,23054.75,30150.0,10894950.0,I,
2024-05-27 10:48:00,23055.0,23056.8,23045.4,23049.95,24750.0,10905900.0,I,
2024-05-27 10:51:00,23050.0,23051.5,23045.0,23047.2,27525.0,10923500.0,I,
2024-05-27 10:54:00,23049.8,23059.0,23047.5,23050.05,22475.0,10931175.0,I,
2024-05-27 10:57:00,23050.3,23063.15,23047.2,23059.95,26950.0,10870850.0,I,
2024-05-27 11:00:00,23061.25,23065.0,23051.4,23055.95,23625.0,10874900.0,I,
2024-05-27 11:03:00,23051.75,23056.7,23038.9,23047.65,30450.0,10879975.0,I,
2024-05-27 11:06:00,23047.65,23052.0,23045.0,23045.4,9725.0,10884600.0,I,
2024-05-27 11:09:00,23045.4,23046.75,23039.9,23042.55,6700.0,10887625.0,I,
2024-05-27 11:12:00,23042.55,23049.2,23035.0,23049.2,15925.0,10889175.0,I,
2024-05-27 11:15:00,23050.0,23055.0,23047.3,23052.4,11700.0,10869975.0,I,
2024-05-27 11:18:00,23055.4,23060.0,23050.0,23056.0,11300.0,10870775.0,I,
2024-05-27 11:21:00,23056.0,23057.0,23046.45,23046.6,6475.0,10872175.0,I,
2024-05-27 11:24:00,23046.6,23055.8,23046.6,23052.35,12000.0,10872175.0,I,
2024-05-27 11:27:00,23052.35,23059.0,23048.45,23057.85,15550.0,10872675.0,I,
2024-05-27 11:30:00,23057.85,23065.0,23055.3,23065.0,26200.0,10875075.0,I,
2024-05-27 11:33:00,23068.0,23073.25,23058.5,23060.05,46300.0,10881675.0,I,
2024-05-27 11:36:00,23059.05,23071.15,23055.45,23071.0,31900.0,10894500.0,I,
2024-05-27 11:39:00,23068.8,23087.4,23068.0,23087.4,79650.0,10892850.0,I,
2024-05-27 11:42:00,23087.4,23096.5,23085.95,23090.95,94825.0,10915450.0,I,
2024-05-27 11:45:00,23092.85,23099.0,23088.35,23089.2,62925.0,10932050.0,I,
2024-05-27 11:48:00,23089.2,23097.6,23085.3,23093.35,46975.0,10935125.0,I,
