date,symbol,series,total_v
2024-05-27,BANKNIFTY,I,2383410.0
2024-05-27,NIFTY,I,5799500.0
2024-05-28,BANKNIFTY,I,1937655.0
2024-05-28,NIFTY,I,4956425.0
2024-05-29,BANKNIFTY,II,2899920.0
2024-05-29,NIFTY,I,7018975.0
2024-05-30,BANKNIFTY,I,3526005.0
2024-05-30,NIFTY,II,12024800.0
2024-05-31,BANKNIFTY,I,3322365.0
2024-05-31,NIFTY,I,13129800.0
2024-06-03,BANKNIFTY,I,4359660.0
2024-06-03,NIFTY,I,14035925.0
2024-06-04,BANKNIFTY,I,10294455.0
2024-06-04,NIFTY,I,40391000.0
2024-06-05,BANKNIFTY,I,8188305.0
2024-06-05,NIFTY,I,19631800.0
2024-06-06,BANKNIFTY,I,3531315.0
2024-06-06,NIFTY,I,15344025.0
2024-06-07,BANKNIFTY,I,3415155.0
2024-06-07,NIFTY,I,12927525.0
2024-06-10,BANKNIFTY,I,2687775.0
2024-06-10,NIFTY,I,7750225.0
2024-06-11,BANKNIFTY,I,2237340.0
2024-06-11,NIFTY,I,5786225.0
2024-06-12,BANKNIFTY,I,2885145.0
2024-06-12,NIFTY,I,5917925.0
2024-06-13,BANKNIFTY,I,1422915.0
2024-06-13,NIFTY,I,5143775.0
2024-06-14,BANKNIFTY,I,1702650.0
2024-06-14,NIFTY,I,4537400.0
2024-06-18,BANKNIFTY,I,1975410.0
2024-06-18,NIFTY,I,4022575.0
2024-06-19,BANKNIFTY,I,5845305.0
2024-06-19,NIFTY,I,7823750.0
2024-06-20,BANKNIFTY,I,2391045.0
2024-06-20,NIFTY,I,5555425.0
2024-06-21,BANKNIFTY,I,2613975.0
2024-06-21,NIFTY,I,7529600.0
2024-06-24,BANKNIFTY,I,2337150.0
2024-06-24,NIFTY,I,6489450.0
2024-06-25,BANKNIFTY,I,2547780.0
2024-06-25,NIFTY,I,6351250.0
2024-06-26,BANKNIFTY,II,2519265.0
2024-06-26,NIFTY,I,5723300.0
2024-06-27,BANKNIFTY,I,2256930.0
2024-06-27,NIFTY,II,12119925.0
2024-06-28,BANKNIFTY,I,2465250.0
2024-06-28,NIFTY,I,7116100.0
2024-07-01,BANKNIFTY,I,1670265.0
2024-07-01,NIFTY,I,4080225.0
2024-07-02,BANKNIFTY,I,2506575.0
2024-07-02,NIFTY,I,5297200.0
2024-07-03,BANKNIFTY,I,3999255.0
2024-07-03,NIFTY,I,5251400.0
2024-07-04,BANKNIFTY,I,1891350.0
2024-07-04,NIFTY,I,4924675.0
2024-07-05,BANKNIFTY,I,2668665.0
2024-07-05,NIFTY,I,5759125.0
2024-07-08,BANKNIFTY,I,1961100.0
2024-07-08,NIFTY,I,3252375.0
2024-07-09,BANKNIFTY,I,1192545.0
2024-07-09,NIFTY,I,3671700.0
2024-07-10,BANKNIFTY,I,2359875.0
2024-07-10,NIFTY,I,7751875.0
2024-07-11,BANKNIFTY,I,2689455.0
2024-07-11,NIFTY,I,5783850.0
2024-07-12,BANKNIFTY,I,2441970.0
2024-07-12,NIFTY,I,6523450.0
2024-07-15,BANKNIFTY,I,2096400.0
2024-07-15,NIFTY,I,3339825.0
2024-07-16,BANKNIFTY,I,1289265.0
2024-07-16,NIFTY,I,3272150.0
