symbol,tradingsymbol,instrument_key,expiry
BANKNIFTY,BANKNIFTY FUT 28 OCT 25,NSE_FO|52145,2025-10-28
BANKNIFTY,BANKNIFTY FUT 25 NOV 25,NSE_FO|37051,2025-11-25
BANKNIFTY,BANKNIFTY FUT 30 DEC 25,NSE_FO|49508,2025-12-30
NIFTY,FINNIFTY FUT 28 OCT 25,NSE_FO|52146,2025-10-28
NIFTY,MIDCPNIFTY FUT 28 OCT 25,NSE_FO|52147,2025-10-28
NIFTY,NIFTY FUT 28 OCT 25,NSE_FO|52168,2025-10-28
NIFTY,NIFTYNXT50 FUT 28 OCT 25,NSE_FO|52169,2025-10-28
NIFTY,MIDCPNIFTY FUT 25 NOV 25,NSE_FO|37053,2025-11-25
NIFTY,NIFTY FUT 25 NOV 25,NSE_FO|37054,2025-11-25
NIFTY,FINNIFTY FUT 25 NOV 25,NSE_FO|37052,2025-11-25
NIFTY,NIFTYNXT50 FUT 25 NOV 25,NSE_FO|38312,2025-11-25
NIFTY,MIDCPNIFTY FUT 30 DEC 25,NSE_FO|49522,2025-12-30
NIFTY,FINNIFTY FUT 30 DEC 25,NSE_FO|49521,2025-12-30
NIFTY,NIFTYNXT50 FUT 30 DEC 25,NSE_FO|49544,2025-12-30
NIFTY,NIFTY FUT 30 DEC 25,NSE_FO|49543,2025-12-30
