datetime,o,h,l,c,v,oi
2024-09-12 09:15:00,51320.0,51383.05,51253.0,51348.6,46560,2462910
2024-09-12 09:16:00,51346.9,51363.5,51305.9,51311.95,39675,2462910
2024-09-12 09:17:00,51300.1,51328.5,51300.1,51326.35,13950,2462910
2024-09-12 09:18:00,51318.65,51330.0,51317.0,51328.95,7485,2466840
2024-09-12 09:19:00,51324.0,51334.0,51310.0,51332.05,12930,2466840
2024-09-12 09:20:00,51330.0,51347.1,51319.1,51319.1,15105,2466840
2024-09-12 09:21:00,51327.1,51340.0,51312.55,51340.0,10995,2461665
2024-09-12 09:22:00,51340.0,51349.0,51321.35,51335.0,5955,2461665
2024-09-12 09:23:00,51339.85,51349.0,51330.1,51347.0,8625,2461665
2024-09-12 09:24:00,51346.85,51350.0,51331.1,51350.0,7395,2460300
2024-09-12 09:25:00,51350.0,51391.75,51350.0,51391.75,25320,2460300
2024-09-12 09:26:00,51390.95,51397.0,51360.05,51377.35,20970,2460300
2024-09-12 09:27:00,51388.0,51388.4,51366.65,51375.0,3780,2450130
2024-09-12 09:28:00,51375.0,51388.0,51360.65,51362.95,9285,2450130
2024-09-12 09:29:00,51363.7,51379.45,51358.0,51376.25,6165,2450130
2024-09-12 09:30:00,51385.0,51390.0,51363.45,51373.0,14445,2446575
2024-09-12 09:31:00,51370.0,51373.8,51319.0,51321.6,10320,2446575
2024-09-12 09:32:00,51331.65,51361.9,51331.65,51342.75,3990,2446575
2024-09-12 09:33:00,51344.45,51350.0,51322.85,51335.1,3105,2435115
2024-09-12 09:34:00,51340.0,51340.0,51319.0,51325.0,3750,2435115
2024-09-12 09:35:00,51325.0,51338.6,51312.05,51312.05,7755,2435115
2024-09-12 09:36:00,51310.0,51320.0,51304.15,51312.5,9690,2431680
2024-09-12 09:37:00,51315.0,51320.0,51275.0,51276.15,11130,2431680
2024-09-12 09:38:00,51271.8,51295.0,51271.65,51294.95,7035,2431680
2024-09-12 09:39:00,51295.4,51306.85,51260.0,51260.0,9090,2433315
2024-09-12 09:40:00,51266.15,51295.0,51266.15,51290.1,4500,2433315
2024-09-12 09:41:00,51290.1,51324.0,51275.0,51312.0,4860,2433315
2024-09-12 09:42:00,51320.0,51344.9,51297.85,51335.0,6240,2434740
2024-09-12 09:43:00,51333.9,51365.0,51331.2,51365.0,7560,2434740
2024-09-12 09:44:00,51365.0,51369.5,51355.1,51365.0,5325,2434740
2024-09-12 09:45:00,51361.3,51367.1,51340.0,51349.65,6750,2431635
2024-09-12 09:46:00,51348.45,51348.45,51326.0,51342.9,5655,2431635
