datetime,o,h,l,c,v,oi
2024-08-26 09:15:00,51390.0,51400.0,51336.0,51395.0,11745,777900
2024-08-26 09:16:00,51385.6,51400.0,51375.1,51375.1,5070,777900
2024-08-26 09:17:00,51375.15,51385.0,51355.0,51360.0,6525,777900
2024-08-26 09:18:00,51351.15,51385.0,51351.15,51382.5,3045,778155
2024-08-26 09:19:00,51381.8,51385.0,51374.45,51379.35,3330,778155
2024-08-26 09:20:00,51379.95,51381.95,51345.0,51345.0,5130,778155
2024-08-26 09:21:00,51344.05,51360.0,51330.15,51354.25,2550,781845
2024-08-26 09:22:00,51360.0,51390.0,51360.0,51383.3,3720,781845
2024-08-26 09:23:00,51389.95,51425.0,51382.8,51419.85,7785,781845
2024-08-26 09:24:00,51420.0,51422.45,51407.8,51421.5,2955,782760
2024-08-26 09:25:00,51420.0,51450.0,51420.0,51447.6,7215,782760
2024-08-26 09:26:00,51450.0,51455.95,51430.0,51432.1,5475,782760
2024-08-26 09:27:00,51436.1,51436.1,51420.0,51424.05,2835,782175
2024-08-26 09:28:00,51424.05,51461.25,51424.05,51458.65,8895,782175
2024-08-26 09:29:00,51447.4,51457.1,51436.55,51452.95,2805,782175
2024-08-26 09:30:00,51450.05,51476.35,51445.15,51453.0,7185,777450
2024-08-26 09:31:00,51453.0,51455.75,51425.0,51444.15,3585,777450
2024-08-26 09:32:00,51442.65,51464.8,51437.05,51464.8,3180,777450
2024-08-26 09:33:00,51466.7,51490.1,51458.2,51490.1,6765,779385
2024-08-26 09:34:00,51480.0,51499.9,51476.75,51499.9,5700,779385
2024-08-26 09:35:00,51500.0,51515.0,51480.05,51490.0,14145,779385
2024-08-26 09:36:00,51493.15,51493.4,51467.0,51478.75,5160,779295
2024-08-26 09:37:00,51483.0,51499.95,51474.1,51490.0,3150,779295
2024-08-26 09:38:00,51490.0,51511.1,51490.0,51493.5,3975,779295
2024-08-26 09:39:00,51493.4,51520.0,51490.95,51519.55,3870,780360
2024-08-26 09:40:00,51512.0,51520.0,51497.0,51499.75,1755,780360
2024-08-26 09:41:00,51496.1,51500.0,51478.0,51495.0,4170,780360
2024-08-26 09:42:00,51495.0,51502.3,51481.55,51494.8,2745,781065
2024-08-26 09:43:00,51485.95,51510.0,51485.95,51510.0,1680,781065
2024-08-26 09:44:00,51511.95,51530.0,51507.05,51520.0,3255,781065
2024-08-26 09:45:00,51520.0,51520.0,51492.7,51494.8,1695,782880
2024-08-26 09:46:00,51500.4,51515.6,51490.25,51515.0,1380,782880
2024-08-26 09:47:00,51503.9,51556.0,51503.9,51551.85,6705,782880
2024-08-26 09:48:00,51535.7,51556.75,51515.0,51531.65,6045,787095
2024-08-26 09:49:00,51530.2,51542.2,51520.0,51528.1,2265,787095
2024-08-26 09:50:00,51538.0,51540.0,51526.7,51530.2,1425,787095
2024-08-26 09:51:00,51525.0,51532.95,51518.05,51520.1,1575,788325
2024-08-26 09:52:00,51520.1,51529.0,51508.1,51509.45,2010,788325
2024-08-26 09:53:00,51509.45,51520.7,51496.1,51514.75,3105,788325
2024-08-26 09:54:00,51525.85,51535.0,51513.0,51532.25,1290,790485
2024-08-26 09:55:00,51532.25,51548.9,51530.0,51530.0,3210,790485
2024-08-26 09:56:00,51534.0,51534.0,51503.85,51513.0,2490,790485
2024-08-26 09:57:00,51517.95,51534.95,51508.6,51520.0,2340,791415
2024-08-26 09:58:00,51526.0,51535.0,51521.45,51525.3,1290,791415
2024-08-26 09:59:00,51523.9,51533.0,51521.8,51529.25,2835,791415
2024-08-26 10:00:00,51530.0,51532.0,51513.25,51526.3,2595,792705
2024-08-26 10:01:00,51521.2,51530.0,51510.0,51515.1,1815,792705
2024-08-26 10:02:00,51515.1,51529.7,51515.1,51522.3,1305,792705
2024-08-26 10:03:00,51522.85,51525.4,51508.05,51519.7,3795,793740
2024-08-26 10:04:00,51510.4,51530.0,51506.4,51530.0,1335,793740
2024-08-26 10:05:00,51530.0,51536.55,51519.2,51530.0,2865,793740
2024-08-26 10:06:00,51530.0,51534.25,51517.95,51517.95,2355,794025
2024-08-26 10:07:00,51518.1,51539.0,51518.1,51530.95,4815,794025
2024-08-26 10:08:00,51530.95,51541.7,51530.95,51537.05,825,794025
2024-08-26 10:09:00,51537.05,51565.0,51537.05,51548.4,5160,794535
2024-08-26 10:10:00,51548.6,51590.0,51548.6,51576.3,4935,794535
2024-08-26 10:11:00,51570.0,51578.85,51561.2,51576.5,2190,794535
2024-08-26 10:12:00,51575.1,51580.0,51567.4,51580.0,3975,797535
2024-08-26 10:13:00,51580.65,51587.0,51574.2,51587.0,2445,797535
2024-08-26 10:14:00,51590.0,51590.0,51580.0,51585.0,2055,797535
2024-08-26 10:15:00,51584.85,51585.4,51555.3,51565.65,5145,800670
2024-08-26 10:16:00,51560.35,51574.8,51557.85,51568.0,1725,800670
2024-08-26 10:17:00,51567.55,51576.45,51558.1,51573.15,2895,800670
2024-08-26 10:18:00,51573.3,51585.0,51568.35,51580.95,2145,801975
2024-08-26 10:19:00,51589.0,51590.95,51582.0,51582.0,3840,801975
2024-08-26 10:20:00,51581.05,51582.0,51558.0,51564.0,1170,801975
2024-08-26 10:21:00,51564.0,51566.8,51545.0,51553.7,2775,802575
2024-08-26 10:22:00,51553.7,51558.55,51546.65,51550.0,2295,802575
2024-08-26 10:23:00,51550.0,51563.65,51550.0,51563.0,1950,802575
2024-08-26 10:24:00,51563.1,51568.1,51560.5,51563.05,1485,805380
2024-08-26 10:25:00,51563.05,51564.2,51550.95,51550.95,1170,805380
2024-08-26 10:26:00,51550.95,51553.95,51541.05,51544.0,1710,805380
2024-08-26 10:27:00,51544.5,51555.6,51535.05,51538.6,5625,806280
2024-08-26 10:28:00,51538.6,51558.35,51536.7,51545.95,4785,806280
2024-08-26 10:29:00,51545.95,51550.75,51540.0,51540.0,750,806280
2024-08-26 10:30:00,51540.0,51548.6,51530.0,51530.0,1755,809145
2024-08-26 10:31:00,51530.0,51534.4,51525.0,51526.0,1425,809145
2024-08-26 10:32:00,51530.0,51531.9,51525.0,51525.0,1410,809145
2024-08-26 10:33:00,51520.0,51521.1,51494.0,51502.0,3630,811110
2024-08-26 10:34:00,51509.1,51521.2,51500.0,51514.2,1410,811110
2024-08-26 10:35:00,51522.15,51529.25,51513.35,51528.1,1275,811110
2024-08-26 10:36:00,51528.1,51528.1,51482.7,51500.4,1770,812460
2024-08-26 10:37:00,51500.4,51513.15,51487.3,51504.3,840,812460
2024-08-26 10:38:00,51504.3,51527.15,51504.1,51524.95,1230,812460
2024-08-26 10:39:00,51524.95,51535.45,51519.5,51535.0,2025,813855
2024-08-26 10:40:00,51535.0,51540.0,51524.75,51535.65,1455,813855
2024-08-26 10:41:00,51535.7,51535.7,51523.1,51526.2,465,813855
2024-08-26 10:42:00,51526.2,51526.95,51510.0,51510.0,435,814860
2024-08-26 10:43:00,51510.0,51515.0,51493.6,51509.9,2595,814860
2024-08-26 10:44:00,51510.0,51519.95,51510.0,51519.0,465,814860
2024-08-26 10:45:00,51515.95,51520.0,51500.0,51500.0,1890,816090
2024-08-26 10:46:00,51505.75,51515.35,51498.1,51506.8,2790,816090
2024-08-26 10:47:00,51506.8,51506.8,51490.0,51500.0,2655,816090
2024-08-26 10:48:00,51500.15,51510.05,51493.0,51500.0,960,816090
2024-08-26 10:49:00,51500.0,51503.05,51495.0,51503.05,750,820545
2024-08-26 10:50:00,51503.05,51508.45,51490.1,51494.4,1245,820545
2024-08-26 10:51:00,51499.55,51499.55,51455.0,51455.0,5385,820545
2024-08-26 10:52:00,51455.0,51463.8,51441.9,51455.35,5445,820365
2024-08-26 10:53:00,51458.35,51477.9,51455.25,51471.05,2235,820365
2024-08-26 10:54:00,51470.75,51477.95,51466.2,51470.1,1815,825330
2024-08-26 10:55:00,51470.1,51489.0,51462.0,51489.0,2775,825330
2024-08-26 10:56:00,51478.7,51489.35,51477.35,51486.8,840,825330
2024-08-26 10:57:00,51486.8,51498.8,51480.4,51493.2,2190,825330
2024-08-26 10:58:00,51493.2,51501.1,51490.0,51500.0,1845,827715
2024-08-26 10:59:00,51500.0,51530.0,51500.0,51521.75,975,827715
2024-08-26 11:00:00,51521.75,51535.0,51510.05,51515.0,2355,827715
2024-08-26 11:01:00,51515.0,51525.55,51511.35,51511.35,360,829755
2024-08-26 11:02:00,51511.35,51516.0,51498.4,51501.0,570,829755
2024-08-26 11:03:00,51501.0,51508.3,51480.0,51481.0,1935,829755
2024-08-26 11:04:00,51481.0,51484.0,51468.05,51477.95,960,830085
2024-08-26 11:05:00,51484.6,51484.85,51470.0,51470.0,525,830085
2024-08-26 11:06:00,51477.15,51492.65,51477.15,51480.2,750,830085
2024-08-26 11:07:00,51480.2,51500.0,51480.2,51492.2,1275,828750
2024-08-26 11:08:00,51492.2,51509.0,51492.2,51506.45,900,828750
2024-08-26 11:09:00,51500.0,51511.0,51500.0,51511.0,1350,828750
2024-08-26 11:10:00,51518.65,51520.0,51505.9,51511.75,1260,830235
2024-08-26 11:11:00,51511.75,51514.55,51500.0,51500.9,630,830235
2024-08-26 11:12:00,51500.9,51518.45,51500.9,51517.9,1095,830235
2024-08-26 11:13:00,51517.9,51517.95,51510.0,51512.1,315,830925
2024-08-26 11:14:00,51512.1,51520.0,51510.0,51516.65,1170,830925
2024-08-26 11:15:00,51516.65,51525.0,51511.9,51524.95,1725,830925
2024-08-26 11:16:00,51525.0,51531.0,51521.0,51531.0,1530,832125
2024-08-26 11:17:00,51532.25,51534.7,51520.0,51525.0,1440,832125
2024-08-26 11:18:00,51525.0,51529.6,51515.0,51519.95,690,832125
2024-08-26 11:19:00,51519.95,51519.95,51508.1,51512.45,975,833115
2024-08-26 11:20:00,51512.45,51514.9,51502.3,51514.8,2040,833115
2024-08-26 11:21:00,51514.8,51525.0,51514.35,51517.15,2415,833115
2024-08-26 11:22:00,51517.15,51529.4,51517.15,51525.0,390,836325
2024-08-26 11:23:00,51527.8,51529.1,51516.15,51521.7,480,836325
2024-08-26 11:24:00,51521.7,51522.3,51510.95,51520.0,570,836325
2024-08-26 11:25:00,51520.0,51521.0,51511.3,51518.25,495,836790
2024-08-26 11:26:00,51525.0,51529.55,51512.9,51526.35,1005,836790
2024-08-26 11:27:00,51526.35,51526.35,51505.0,51505.0,525,836790
2024-08-26 11:28:00,51505.0,51513.4,51502.9,51509.95,780,837690
2024-08-26 11:29:00,51505.4,51519.95,51505.4,51510.0,2280,837690
2024-08-26 11:30:00,51510.0,51514.9,51510.0,51510.5,300,837690
2024-08-26 11:31:00,51514.85,51525.0,51514.8,51523.0,2910,839910
2024-08-26 11:32:00,51524.0,51529.95,51522.05,51528.6,1065,839910
2024-08-26 11:33:00,51528.6,51535.9,51520.85,51526.3,2565,839910
2024-08-26 11:34:00,51526.3,51533.5,51523.7,51533.3,2520,844665
2024-08-26 11:35:00,51533.2,51538.45,51522.7,51538.45,1350,844665
2024-08-26 11:36:00,51526.05,51537.95,51526.05,51531.35,1935,844665
2024-08-26 11:37:00,51531.35,51546.75,51523.05,51545.65,2475,847050
2024-08-26 11:38:00,51546.65,51549.25,51537.55,51546.4,2955,847050
2024-08-26 11:39:00,51546.4,51550.0,51537.65,51548.0,2400,847050
2024-08-26 11:40:00,51550.0,51559.35,51536.45,51548.15,4920,849780
2024-08-26 11:41:00,51548.15,51551.6,51544.9,51545.75,690,849780
2024-08-26 11:42:00,51545.75,51553.95,51542.0,51553.95,2250,849780
2024-08-26 11:43:00,51552.1,51553.0,51542.7,51550.85,645,853005
2024-08-26 11:44:00,51550.85,51552.8,51540.05,51547.9,780,853005
2024-08-26 11:45:00,51547.9,51547.9,51537.0,51538.0,3960,853005
2024-08-26 11:46:00,51544.45,51544.45,51530.0,51532.0,915,856995
2024-08-26 11:47:00,51532.0,51533.65,51522.0,51526.0,2460,856995
2024-08-26 11:48:00,51526.0,51528.35,51520.0,51527.3,1200,856995
2024-08-26 11:49:00,51525.0,51536.7,51521.0,51536.7,765,860685
2024-08-26 11:50:00,51536.7,51537.9,51528.9,51528.95,1335,860685
2024-08-26 11:51:00,51529.0,51540.0,51529.0,51538.15,810,860685
2024-08-26 11:52:00,51538.15,51538.95,51535.0,51538.95,1200,860025
2024-08-26 11:53:00,51538.95,51538.95,51527.25,51531.7,945,860025
2024-08-26 11:54:00,51531.7,51535.5,51528.75,51528.75,330,860025
2024-08-26 11:55:00,51528.75,51532.25,51526.0,51526.05,285,862170
2024-08-26 11:56:00,51526.05,51526.05,51512.7,51520.0,765,862170
2024-08-26 11:57:00,51520.0,51525.8,51507.25,51507.25,435,862170
2024-08-26 11:58:00,51507.25,51516.05,51502.2,51514.35,930,862770
2024-08-26 11:59:00,51514.35,51526.1,51514.35,51524.0,1725,862770
2024-08-26 12:00:00,51520.05,51525.1,51520.05,51525.1,675,862770
2024-08-26 12:01:00,51525.1,51528.6,51525.1,51526.0,270,863925
2024-08-26 12:02:00,51526.0,51529.0,51518.15,51520.05,1440,863925
2024-08-26 12:03:00,51520.05,51535.5,51520.05,51535.5,735,863925
2024-08-26 12:04:00,51530.95,51533.65,51525.0,51530.0,330,864975
2024-08-26 12:05:00,51530.0,51530.0,51520.0,51527.75,630,864975
2024-08-26 12:06:00,51520.0,51523.4,51512.05,51517.95,540,864975
2024-08-26 12:07:00,51517.95,51517.95,51509.5,51509.5,780,865635
2024-08-26 12:08:00,51510.05,51521.45,51509.0,51518.9,5820,865635
2024-08-26 12:09:00,51522.95,51522.95,51514.85,51516.9,1530,865635
2024-08-26 12:10:00,51516.9,51516.9,51510.0,51512.0,375,871905
2024-08-26 12:11:00,51512.0,51513.65,51505.0,51507.5,3720,871905
2024-08-26 12:12:00,51505.0,51505.0,51493.0,51500.0,1185,871905
2024-08-26 12:13:00,51500.0,51504.0,51492.7,51499.9,555,876495
2024-08-26 12:14:00,51499.9,51505.65,51495.0,51504.65,375,876495
2024-08-26 12:15:00,51504.65,51505.9,51494.05,51503.95,495,876495
2024-08-26 12:16:00,51502.9,51509.25,51502.9,51506.25,1695,875550
2024-08-26 12:17:00,51506.25,51506.25,51490.0,51490.0,1110,875550
2024-08-26 12:18:00,51490.95,51512.0,51490.95,51512.0,375,875550
2024-08-26 12:19:00,51512.0,51518.85,51512.0,51516.85,360,877650
2024-08-26 12:20:00,51516.85,51528.15,51511.8,51528.15,2295,877650
2024-08-26 12:21:00,51528.15,51528.15,51518.1,51522.1,435,877650
2024-08-26 12:22:00,51522.25,51522.45,51512.65,51512.65,750,878985
2024-08-26 12:23:00,51512.65,51515.35,51511.1,51514.0,615,878985
2024-08-26 12:24:00,51514.0,51515.7,51505.0,51505.0,1230,878985
2024-08-26 12:25:00,51505.0,51508.0,51502.0,51508.0,1740,879255
2024-08-26 12:26:00,51508.0,51508.0,51502.35,51505.5,225,879255
2024-08-26 12:27:00,51505.5,51510.0,51501.0,51509.35,570,879255
2024-08-26 12:28:00,51513.8,51513.8,51504.0,51508.1,840,881070
2024-08-26 12:29:00,51508.1,51521.0,51508.1,51521.0,885,881070
2024-08-26 12:30:00,51521.0,51529.0,51521.0,51524.2,1380,881070
2024-08-26 12:31:00,51524.1,51529.0,51522.3,51526.2,1200,881520
2024-08-26 12:32:00,51525.85,51530.15,51517.0,51525.7,555,881520
2024-08-26 12:33:00,51525.7,51525.7,51515.25,51520.0,375,881520
2024-08-26 12:34:00,51520.4,51532.0,51520.4,51530.0,810,881640
2024-08-26 12:35:00,51532.0,51539.0,51526.0,51526.0,630,881640
2024-08-26 12:36:00,51526.0,51533.05,51526.0,51527.1,180,881640
2024-08-26 12:37:00,51527.1,51529.2,51523.0,51523.95,420,881970
2024-08-26 12:38:00,51523.95,51543.8,51523.95,51543.8,600,881970
2024-08-26 12:39:00,51543.8,51544.5,51538.7,51544.45,345,881970
2024-08-26 12:40:00,51544.65,51549.85,51538.2,51549.85,945,882435
2024-08-26 12:41:00,51549.85,51560.0,51549.85,51559.8,1980,882435
2024-08-26 12:42:00,51559.95,51579.65,51559.95,51572.8,7155,882435
