datetime,o,h,l,c,v,oi
2025-05-15 09:15:00,55371.4,55371.4,55250.0,55256.6,665,55370
2025-05-15 09:16:00,55256.6,55264.2,55237.0,55237.0,315,55370
2025-05-15 09:17:00,55237.0,55264.6,55235.0,55264.6,140,55370
2025-05-15 09:18:00,55264.6,55264.6,55213.2,55215.2,140,55720
2025-05-15 09:19:00,55215.2,55215.2,55200.0,55206.0,385,55720
2025-05-15 09:20:00,55206.0,55211.0,55145.2,55186.6,315,55720
2025-05-15 09:21:00,55186.6,55216.0,55186.6,55216.0,105,55930
2025-05-15 09:22:00,55216.0,55216.0,55180.2,55180.2,175,55930
2025-05-15 09:23:00,55180.2,55180.2,55145.2,55150.0,210,55930
2025-05-15 09:24:00,55150.0,55176.2,55150.0,55176.2,70,55930
2025-05-15 09:25:00,55206.8,55206.8,55206.8,55206.8,35,56350
2025-05-15 09:26:00,55206.8,55206.8,55206.8,55206.8,0,56350
2025-05-15 09:27:00,55206.8,55206.8,55206.8,55206.8,0,56350
2025-05-15 09:28:00,55206.8,55206.8,55200.0,55200.0,35,56350
2025-05-15 09:29:00,55200.0,55213.2,55190.0,55190.0,70,56350
2025-05-15 09:30:00,55190.0,55190.0,55159.0,55159.0,70,56455
2025-05-15 09:31:00,55159.0,55159.0,55159.0,55159.0,0,56455
2025-05-15 09:32:00,55159.0,55159.0,55145.0,55158.8,245,56455
2025-05-15 09:33:00,55158.8,55170.6,55141.6,55170.6,70,56315
2025-05-15 09:34:00,55170.6,55170.6,55170.6,55170.6,35,56315
2025-05-15 09:35:00,55170.6,55170.6,55101.4,55105.0,665,56315
2025-05-15 09:36:00,55105.0,55105.0,55095.0,55100.0,595,56315
2025-05-15 09:37:00,55100.0,55115.8,55100.0,55115.8,175,56420
2025-05-15 09:38:00,55115.8,55115.8,55103.0,55103.0,35,56420
2025-05-15 09:39:00,55103.0,55103.0,55103.0,55103.0,0,56420
2025-05-15 09:40:00,55103.0,55118.0,55103.0,55118.0,70,56420
2025-05-15 09:41:00,55118.0,55118.0,55118.0,55118.0,0,56420
2025-05-15 09:42:00,55118.0,55118.0,55118.0,55118.0,105,56455
2025-05-15 09:43:00,55118.0,55118.0,55107.8,55107.8,105,56455
2025-05-15 09:44:00,55107.8,55108.0,55100.0,55100.0,595,56455
2025-05-15 09:45:00,55100.0,55100.0,55070.0,55070.0,210,56455
2025-05-15 09:46:00,55070.0,55070.0,55061.4,55061.4,70,56840
2025-05-15 09:47:00,55061.4,55105.0,55061.4,55104.6,140,56840
2025-05-15 09:48:00,55104.6,55149.0,55104.6,55111.2,140,56840
2025-05-15 09:49:00,55111.2,55111.2,55111.2,55111.2,0,56840
2025-05-15 09:50:00,55111.2,55111.2,55111.2,55111.2,0,56840
2025-05-15 09:51:00,55111.2,55155.8,55111.2,55155.8,70,56700
2025-05-15 09:52:00,55155.8,55177.8,55155.8,55177.8,70,56700
2025-05-15 09:53:00,55177.8,55177.8,55177.8,55177.8,0,56700
2025-05-15 09:54:00,55177.8,55177.8,55140.0,55140.0,35,56700
2025-05-15 09:55:00,55140.0,55140.0,55140.0,55140.0,0,56700
2025-05-15 09:56:00,55140.0,55169.8,55140.0,55169.8,70,56630
2025-05-15 09:57:00,55169.8,55169.8,55154.0,55154.0,105,56630
2025-05-15 09:58:00,55154.0,55154.0,55150.0,55150.0,35,56735
2025-05-15 09:59:00,55150.0,55150.0,55150.0,55150.0,0,56735
2025-05-15 10:00:00,55150.0,55150.0,55150.0,55150.0,0,56735
2025-05-15 10:01:00,55150.0,55150.0,55140.4,55140.4,70,56770
2025-05-15 10:02:00,55140.4,55140.4,55140.4,55140.4,0,56770
2025-05-15 10:03:00,55140.4,55140.4,55140.4,55140.4,0,56770
2025-05-15 10:04:00,55140.4,55140.4,55140.4,55140.4,70,56770
2025-05-15 10:05:00,55140.4,55140.4,55126.0,55126.0,35,56770
2025-05-15 10:06:00,55126.0,55126.0,55101.2,55101.2,105,56770
2025-05-15 10:07:00,55101.2,55101.2,55082.0,55082.0,350,56910
2025-05-15 10:08:00,55082.2,55082.2,55082.2,55082.2,35,56910
2025-05-15 10:09:00,55082.2,55130.8,55082.2,55115.6,280,56910
2025-05-15 10:10:00,55115.6,55115.6,55115.6,55115.6,0,56910
2025-05-15 10:11:00,55115.6,55150.0,55115.6,55150.0,175,56770
2025-05-15 10:12:00,55150.0,55152.8,55150.0,55152.8,140,56770
2025-05-15 10:13:00,55152.8,55152.8,55152.8,55152.8,0,56770
2025-05-15 10:14:00,55152.8,55152.8,55152.8,55152.8,0,56770
2025-05-15 10:15:00,55152.8,55152.8,55143.8,55143.8,105,56490
2025-05-15 10:16:00,55143.8,55143.8,55143.0,55143.0,35,56490
2025-05-15 10:17:00,55143.0,55169.8,55143.0,55169.8,70,56490
2025-05-15 10:18:00,55169.8,55169.8,55115.8,55115.8,35,56490
2025-05-15 10:19:00,55115.8,55115.8,55115.8,55115.8,0,56490
2025-05-15 10:20:00,55115.8,55115.8,55115.8,55115.8,0,56490
2025-05-15 10:21:00,55115.8,55115.8,55100.0,55100.0,35,56595
2025-05-15 10:22:00,55100.0,55100.0,55100.0,55100.0,140,56630
2025-05-15 10:23:00,55100.0,55100.0,55100.0,55100.0,0,56630
2025-05-15 10:24:00,55100.0,55100.0,55100.0,55100.0,0,56630
2025-05-15 10:25:00,55100.0,55100.0,55100.0,55100.0,0,56630
2025-05-15 10:26:00,55100.0,55100.0,55100.0,55100.0,0,56630
2025-05-15 10:27:00,55100.0,55100.0,55100.0,55100.0,0,56630
2025-05-15 10:28:00,55100.0,55145.4,55100.0,55145.4,175,56630
2025-05-15 10:29:00,55145.4,55145.4,55145.4,55145.4,0,56630
2025-05-15 10:30:00,55145.4,55145.4,55145.4,55145.4,0,56630
2025-05-15 10:31:00,55145.4,55200.0,55145.4,55200.0,210,56665
2025-05-15 10:32:00,55200.0,55219.6,55195.4,55195.4,105,56665
2025-05-15 10:33:00,55195.4,55195.4,55191.2,55191.2,210,56665
2025-05-15 10:34:00,55191.2,55208.4,55191.2,55208.4,280,56630
2025-05-15 10:35:00,55208.4,55208.4,55208.4,55208.4,0,56630
2025-05-15 10:36:00,55208.4,55228.0,55208.4,55228.0,70,56630
2025-05-15 10:37:00,55228.0,55240.0,55228.0,55240.0,70,56490
2025-05-15 10:38:00,55240.0,55240.0,55231.2,55231.2,35,56490
2025-05-15 10:39:00,55231.2,55350.0,55231.2,55350.0,420,56455
2025-05-15 10:40:00,55350.0,55471.2,55350.0,55413.2,2065,56455
2025-05-15 10:41:00,55413.2,55435.8,55403.2,55407.4,490,56455
2025-05-15 10:42:00,55407.4,55410.0,55407.4,55410.0,70,56455
2025-05-15 10:43:00,55410.0,55410.0,55356.4,55356.4,210,56070
2025-05-15 10:44:00,55356.4,55390.0,55356.4,55390.0,35,56070
2025-05-15 10:45:00,55373.8,55373.8,55357.4,55357.4,70,56070
2025-05-15 10:46:00,55357.4,55375.0,55340.0,55340.0,140,56105
2025-05-15 10:47:00,55340.0,55340.0,55340.0,55340.0,0,56105
2025-05-15 10:48:00,55340.0,55340.0,55340.0,55340.0,0,56105
2025-05-15 10:49:00,55340.0,55340.0,55340.0,55340.0,0,56105
2025-05-15 10:50:00,55332.8,55332.8,55332.8,55332.8,35,56140
2025-05-15 10:51:00,55332.8,55332.8,55332.8,55332.8,0,56140
2025-05-15 10:52:00,55332.8,55332.8,55332.8,55332.8,0,56140
2025-05-15 10:53:00,55332.8,55332.8,55283.2,55283.2,70,56140
2025-05-15 10:54:00,55283.2,55283.2,55275.0,55275.0,35,56140
2025-05-15 10:55:00,55275.0,55280.0,55275.0,55280.0,70,56210
2025-05-15 10:56:00,55300.0,55300.0,55300.0,55300.0,35,56210
2025-05-15 10:57:00,55300.0,55300.0,55300.0,55300.0,0,56210
2025-05-15 10:58:00,55300.0,55350.0,55300.0,55350.0,735,56245
2025-05-15 10:59:00,55350.0,55350.0,55350.0,55350.0,0,56245
2025-05-15 11:00:00,55350.0,55374.2,55350.0,55374.2,35,56245
2025-05-15 11:01:00,55374.2,55374.2,55333.0,55363.6,70,55650
2025-05-15 11:02:00,55363.6,55363.6,55363.6,55363.6,0,55650
2025-05-15 11:03:00,55363.6,55363.6,55363.6,55363.6,0,55650
2025-05-15 11:04:00,55363.6,55363.6,55305.0,55305.0,35,55615
2025-05-15 11:05:00,55305.0,55305.0,55305.0,55305.0,0,55615
2025-05-15 11:06:00,55305.0,55305.0,55275.0,55275.0,140,55615
2025-05-15 11:07:00,55275.0,55275.0,55275.0,55275.0,0,55615
2025-05-15 11:08:00,55275.0,55275.0,55275.0,55275.0,0,55615
2025-05-15 11:09:00,55275.0,55275.0,55240.0,55240.0,35,55615
2025-05-15 11:10:00,55240.0,55240.0,55240.0,55240.0,0,55615
2025-05-15 11:11:00,55240.0,55240.0,55240.0,55240.0,0,55615
2025-05-15 11:12:00,55240.0,55240.0,55240.0,55240.0,0,55615
