datetime,o,h,l,c,v,oi
2024-08-30 09:15:00,25325.0,25348.0,25287.85,25308.05,172175,13256625
2024-08-30 09:16:00,25311.0,25318.2,25307.2,25315.35,78900,13256625
2024-08-30 09:17:00,25315.25,25321.0,25310.2,25313.2,63625,13256625
2024-08-30 09:18:00,25315.3,25320.0,25312.5,25320.0,46100,13319400
2024-08-30 09:19:00,25319.95,25322.0,25315.65,25316.1,47150,13319400
2024-08-30 09:20:00,25308.9,25317.45,25302.15,25304.5,72400,13319400
2024-08-30 09:21:00,25304.05,25319.0,25304.05,25318.95,20925,13346900
2024-08-30 09:22:00,25318.85,25328.15,25318.15,25326.45,44875,13346900
2024-08-30 09:23:00,25327.3,25328.6,25322.7,25324.0,23525,13346900
2024-08-30 09:24:00,25327.0,25327.0,25317.25,25320.0,21275,13383950
2024-08-30 09:25:00,25317.4,25323.2,25317.0,25321.8,12625,13383950
2024-08-30 09:26:00,25320.05,25338.95,25320.05,25338.95,33800,13383950
2024-08-30 09:27:00,25334.0,25343.2,25334.0,25340.15,35825,13407900
2024-08-30 09:28:00,25340.0,25342.95,25335.65,25339.6,20675,13407900
2024-08-30 09:29:00,25340.0,25342.05,25336.0,25342.05,34625,13407900
2024-08-30 09:30:00,25341.0,25344.0,25335.9,25339.0,45025,13431600
2024-08-30 09:31:00,25339.1,25339.1,25320.0,25320.0,35100,13431600
2024-08-30 09:32:00,25321.1,25326.35,25308.75,25316.9,34950,13431600
2024-08-30 09:33:00,25318.9,25318.9,25306.45,25309.55,40350,13447050
2024-08-30 09:34:00,25308.35,25310.0,25301.2,25301.2,41875,13447050
2024-08-30 09:35:00,25302.4,25312.6,25300.75,25311.8,55225,13447050
2024-08-30 09:36:00,25312.4,25315.1,25304.55,25309.6,15950,13449900
2024-08-30 09:37:00,25308.2,25314.55,25304.15,25305.0,19300,13449900
2024-08-30 09:38:00,25304.0,25319.1,25304.0,25315.0,15625,13449900
2024-08-30 09:39:00,25313.15,25318.95,25313.15,25315.0,6500,13447250
2024-08-30 09:40:00,25315.0,25330.0,25315.0,25328.4,22925,13447250
2024-08-30 09:41:00,25328.45,25332.55,25326.95,25329.25,18525,13447250
2024-08-30 09:42:00,25330.3,25331.75,25326.5,25326.5,11600,13458575
2024-08-30 09:43:00,25330.0,25330.65,25320.7,25320.7,7200,13458575
2024-08-30 09:44:00,25323.2,25325.8,25307.35,25313.9,15425,13458575
2024-08-30 09:45:00,25314.8,25315.0,25310.05,25314.8,9800,13462500
2024-08-30 09:46:00,25313.2,25323.0,25311.05,25322.15,17775,13462500
2024-08-30 09:47:00,25322.5,25329.25,25320.15,25325.7,17775,13462500
2024-08-30 09:48:00,25322.9,25323.25,25311.05,25322.05,10150,13457550
2024-08-30 09:49:00,25320.0,25326.55,25319.75,25319.75,7225,13457550
