datetime,o,h,l,c,v,oi
2025-02-19 09:15:00,23080.95,23080.95,23012.95,23030.0,10425,2019825
2025-02-19 09:16:00,23025.0,23029.0,23020.0,23027.8,7575,2019825
2025-02-19 09:17:00,23025.0,23047.25,23023.65,23043.4,4125,2019825
2025-02-19 09:18:00,23046.7,23047.5,23040.0,23043.65,3900,2023275
2025-02-19 09:19:00,23044.9,23047.5,23035.45,23037.0,6000,2023275
2025-02-19 09:20:00,23037.0,23039.05,23019.0,23019.0,6075,2023275
2025-02-19 09:21:00,23020.25,23040.0,23017.75,23040.0,2250,2027025
2025-02-19 09:22:00,23046.2,23049.45,23038.95,23049.0,3525,2027025
2025-02-19 09:23:00,23049.0,23050.0,23033.0,23033.0,3450,2027025
2025-02-19 09:24:00,23033.0,23034.65,23025.0,23028.0,7200,2025675
2025-02-19 09:25:00,23028.0,23037.95,23022.0,23028.95,2925,2025675
2025-02-19 09:26:00,23028.95,23030.0,23021.8,23024.95,3225,2025675
2025-02-19 09:27:00,23021.8,23041.6,23021.0,23038.0,1950,2027250
2025-02-19 09:28:00,23038.0,23038.0,23025.9,23030.0,7425,2027250
2025-02-19 09:29:00,23030.0,23040.4,23029.3,23038.3,3300,2027250
2025-02-19 09:30:00,23038.3,23043.9,23033.0,23037.85,3675,2036175
2025-02-19 09:31:00,23037.85,23041.8,23035.9,23037.75,3000,2036175
2025-02-19 09:32:00,23037.75,23052.75,23033.0,23052.75,4650,2036175
2025-02-19 09:33:00,23054.0,23060.1,23049.0,23060.1,3450,2040675
2025-02-19 09:34:00,23061.15,23066.65,23053.1,23064.95,3675,2040675
2025-02-19 09:35:00,23064.9,23067.75,23060.0,23065.7,2700,2040675
2025-02-19 09:36:00,23067.75,23067.8,23059.0,23060.8,1425,2043900
2025-02-19 09:37:00,23060.8,23067.0,23056.0,23067.0,1050,2043900
2025-02-19 09:38:00,23067.0,23073.0,23065.05,23069.2,2025,2043900
2025-02-19 09:39:00,23069.2,23074.0,23069.2,23074.0,1275,2044425
2025-02-19 09:40:00,23074.0,23075.0,23069.95,23075.0,1275,2044425
2025-02-19 09:41:00,23072.6,23072.6,23061.05,23061.05,2400,2044425
2025-02-19 09:42:00,23061.05,23062.55,23055.0,23055.05,1575,2046600
2025-02-19 09:43:00,23057.8,23080.0,23057.8,23080.0,4050,2046600
2025-02-19 09:44:00,23080.0,23088.45,23080.0,23084.25,2700,2046600
2025-02-19 09:45:00,23085.0,23100.0,23085.0,23099.5,3750,2048775
2025-02-19 09:46:00,23099.75,23110.9,23099.5,23105.0,5100,2048775
2025-02-19 09:47:00,23110.0,23110.3,23102.1,23107.65,5100,2048775
2025-02-19 09:48:00,23107.65,23132.0,23107.65,23131.45,5925,2051625
2025-02-19 09:49:00,23133.0,23150.9,23132.05,23136.55,6675,2051625
2025-02-19 09:50:00,23137.15,23151.0,23132.1,23132.1,23400,2051625
2025-02-19 09:51:00,23132.1,23140.0,23127.6,23130.6,3150,2065500
2025-02-19 09:52:00,23130.6,23148.0,23130.6,23148.0,2625,2065500
2025-02-19 09:53:00,23145.0,23158.0,23145.0,23153.95,3900,2065500
2025-02-19 09:54:00,23153.95,23160.0,23140.5,23158.65,5475,2069100
2025-02-19 09:55:00,23149.9,23166.7,23149.9,23162.1,6750,2069100
2025-02-19 09:56:00,23169.0,23174.85,23167.25,23174.0,4350,2069100
2025-02-19 09:57:00,23174.0,23174.0,23151.05,23152.4,1350,2069250
2025-02-19 09:58:00,23151.65,23173.95,23151.65,23167.75,1875,2069250
2025-02-19 09:59:00,23167.25,23175.0,23167.05,23168.0,1650,2069250
2025-02-19 10:00:00,23170.0,23179.0,23167.05,23167.05,4800,2070825
2025-02-19 10:01:00,23163.0,23170.5,23156.75,23165.1,1575,2070825
2025-02-19 10:02:00,23165.1,23170.65,23157.05,23163.8,3225,2070825
2025-02-19 10:03:00,23163.8,23167.45,23157.75,23165.0,975,2069925
2025-02-19 10:04:00,23165.0,23165.0,23157.0,23158.0,900,2069925
2025-02-19 10:05:00,23159.65,23167.0,23155.0,23167.0,2475,2069925
2025-02-19 10:06:00,23167.0,23175.0,23165.3,23165.3,2250,2070975
2025-02-19 10:07:00,23165.3,23168.8,23150.0,23151.25,1350,2070975
2025-02-19 10:08:00,23150.0,23157.25,23140.15,23155.85,2550,2070975
2025-02-19 10:09:00,23151.0,23157.9,23150.0,23154.3,1125,2072325
2025-02-19 10:10:00,23154.3,23159.95,23151.55,23157.0,2775,2072325
2025-02-19 10:11:00,23155.0,23157.1,23147.0,23154.35,3900,2072325
2025-02-19 10:12:00,23154.35,23154.35,23150.0,23150.0,1050,2072850
2025-02-19 10:13:00,23150.0,23153.0,23140.4,23153.0,1575,2072850
2025-02-19 10:14:00,23153.0,23172.95,23153.0,23168.6,2475,2072850
2025-02-19 10:15:00,23175.0,23220.0,23174.0,23213.5,15075,2073750
2025-02-19 10:16:00,23213.5,23221.95,23207.55,23220.8,5100,2073750
2025-02-19 10:17:00,23222.0,23222.0,23210.0,23211.6,4425,2073750
2025-02-19 10:18:00,23211.8,23220.0,23211.8,23215.45,1650,2073975
2025-02-19 10:19:00,23215.45,23220.0,23215.45,23219.95,1200,2073975
2025-02-19 10:20:00,23220.0,23230.0,23215.25,23230.0,5100,2073975
2025-02-19 10:21:00,23229.95,23231.25,23216.05,23216.1,7350,2074575
2025-02-19 10:22:00,23216.1,23219.95,23211.0,23211.75,3300,2074575
2025-02-19 10:23:00,23211.75,23220.4,23210.0,23220.4,2925,2074575
2025-02-19 10:24:00,23221.1,23228.95,23221.0,23228.0,1725,2075550
2025-02-19 10:25:00,23228.0,23228.05,23212.6,23218.7,2175,2075550
2025-02-19 10:26:00,23218.7,23225.9,23212.0,23219.15,2025,2075550
2025-02-19 10:27:00,23219.15,23220.0,23216.0,23216.0,675,2075100
2025-02-19 10:28:00,23216.0,23220.0,23212.0,23220.0,975,2075100
2025-02-19 10:29:00,23220.0,23222.0,23217.4,23220.0,3825,2075100
2025-02-19 10:30:00,23222.9,23237.95,23222.9,23233.0,3600,2074575
2025-02-19 10:31:00,23233.0,23236.3,23223.65,23225.95,2625,2074575
2025-02-19 10:32:00,23225.95,23225.95,23216.55,23216.55,2100,2074575
2025-02-19 10:33:00,23216.55,23219.95,23213.05,23214.1,5700,2073900
2025-02-19 10:34:00,23214.1,23218.95,23211.0,23211.55,3000,2073900
2025-02-19 10:35:00,23211.0,23211.05,23203.05,23203.05,5400,2073900
2025-02-19 10:36:00,23201.6,23208.95,23200.0,23208.95,1875,2071050
2025-02-19 10:37:00,23209.0,23215.0,23205.8,23208.7,1875,2071050
2025-02-19 10:38:00,23207.85,23214.9,23201.05,23207.95,1200,2071050
2025-02-19 10:39:00,23207.95,23220.0,23207.95,23220.0,2925,2072775
2025-02-19 10:40:00,23220.0,23224.8,23220.0,23223.95,2250,2072775
2025-02-19 10:41:00,23223.95,23223.95,23219.85,23219.85,750,2072775
2025-02-19 10:42:00,23219.85,23223.85,23219.85,23222.55,1050,2075025
2025-02-19 10:43:00,23222.55,23227.0,23222.0,23224.75,1425,2075025
2025-02-19 10:44:00,23224.75,23224.75,23210.75,23210.75,4050,2075025
2025-02-19 10:45:00,23210.55,23212.0,23204.05,23212.0,3600,2076750
