datetime,o,h,l,c,v,oi
2024-09-20 09:15:00,25775.0,25789.05,25772.95,25775.0,6450,433350
2024-09-20 09:16:00,25775.0,25776.0,25761.05,25765.0,1775,433350
2024-09-20 09:17:00,25765.0,25774.0,25762.05,25769.5,2175,433350
2024-09-20 09:18:00,25769.5,25770.0,25760.0,25760.0,2150,435225
2024-09-20 09:19:00,25760.0,25760.0,25745.0,25750.0,2400,435225
2024-09-20 09:20:00,25744.1,25744.1,25715.0,25715.0,3950,435225
2024-09-20 09:21:00,25715.0,25734.95,25703.0,25729.0,6850,436975
2024-09-20 09:22:00,25738.0,25748.2,25736.0,25744.75,875,436975
2024-09-20 09:23:00,25743.95,25743.95,25736.2,25739.0,650,436975
2024-09-20 09:24:00,25739.0,25740.85,25730.15,25737.0,1175,437925
2024-09-20 09:25:00,25737.4,25744.7,25731.05,25738.25,825,437925
2024-09-20 09:26:00,25738.25,25755.0,25738.25,25739.05,900,437925
2024-09-20 09:27:00,25734.5,25743.2,25734.5,25742.85,1075,438925
2024-09-20 09:28:00,25740.0,25740.0,25720.0,25723.7,1025,438925
2024-09-20 09:29:00,25723.7,25733.65,25720.7,25733.65,950,438925
2024-09-20 09:30:00,25733.65,25745.0,25727.0,25727.0,650,439700
2024-09-20 09:31:00,25724.45,25730.8,25722.0,25728.55,450,439700
2024-09-20 09:32:00,25728.55,25738.75,25728.55,25730.05,275,439700
2024-09-20 09:33:00,25730.05,25730.05,25726.0,25730.0,300,439925
2024-09-20 09:34:00,25730.0,25731.3,25719.9,25720.45,375,439925
2024-09-20 09:35:00,25720.45,25722.2,25715.0,25722.2,350,439925
2024-09-20 09:36:00,25722.2,25722.2,25695.0,25695.0,11450,440500
2024-09-20 09:37:00,25695.0,25708.5,25687.3,25706.75,2050,440500
2024-09-20 09:38:00,25708.5,25720.9,25705.0,25705.0,800,440500
2024-09-20 09:39:00,25715.7,25715.7,25709.6,25709.6,500,437575
2024-09-20 09:40:00,25709.6,25721.0,25700.0,25721.0,650,437575
2024-09-20 09:41:00,25721.0,25730.4,25720.05,25720.05,575,437575
2024-09-20 09:42:00,25720.05,25724.55,25719.6,25720.1,250,437125
2024-09-20 09:43:00,25720.0,25720.0,25710.05,25710.65,350,437125
2024-09-20 09:44:00,25710.65,25715.15,25710.05,25711.05,575,437125
2024-09-20 09:45:00,25711.05,25718.4,25704.65,25704.65,350,437125
2024-09-20 09:46:00,25703.9,25703.9,25700.6,25700.6,400,437325
2024-09-20 09:47:00,25700.6,25713.0,25700.6,25713.0,125,437325
2024-09-20 09:48:00,25710.0,25726.0,25710.0,25726.0,275,437550
2024-09-20 09:49:00,25732.0,25745.0,25732.0,25732.7,525,437550
2024-09-20 09:50:00,25733.05,25748.05,25733.05,25748.05,650,437550
2024-09-20 09:51:00,25748.05,25775.0,25738.6,25771.25,6675,439000
2024-09-20 09:52:00,25773.75,25788.0,25765.9,25768.35,4800,439000
2024-09-20 09:53:00,25768.35,25768.35,25755.7,25768.0,2125,439000
2024-09-20 09:54:00,25768.0,25775.0,25763.4,25775.0,1125,438025
2024-09-20 09:55:00,25775.0,25800.0,25775.0,25790.25,5725,438025
2024-09-20 09:56:00,25790.25,25803.95,25790.25,25791.7,2275,438025
2024-09-20 09:57:00,25799.0,25804.9,25789.5,25799.0,3950,441050
2024-09-20 09:58:00,25800.0,25802.6,25798.35,25802.6,7475,441050
2024-09-20 09:59:00,25802.2,25812.0,25801.1,25801.1,4150,441050
2024-09-20 10:00:00,25801.1,25815.0,25801.1,25811.95,2175,447775
2024-09-20 10:01:00,25811.05,25811.05,25788.65,25795.0,1325,447775
